Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,David Aardsma\aardsda01,24,CHC,43,3,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Traded,1
2,Andy Abad*\abadan01,33,CIN,5,5,0,0,0,0,0,0,0.0,0,0,0.0,.493,.500,0.0,0.0,0,$327000,Free Agency,
3,Reggie Abercrombie\abercre01,25,FLA,111,281,-13,-1,2,-4,1,-16,-1.6,9,-7,-0.7,.486,.491,-0.3,-0.4,-3,$327000,Waivers,89/7
4,Bobby Abreu*\abreubo01,32,PHI,98,438,13,4,1,-6,-4,8,0.7,13,22,2.0,.508,.505,2.6,-1.0,28,$13600000,Traded,9/8D
5,Jeremy Accardo\accarje01,24,SFG,36,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$330000,Amateur Free Agent,1
6,Mike Adams\adamsmi03,27,MIL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Free Agent,/1
7,Jon Adkins*\adkinjo01,28,SDP,51,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
8,Jeremy Affeldt*\affelje01,27,COL,27,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Traded,1
9,Chris Aguila\aguilch01,27,FLA,47,104,-5,0,0,1,-2,-6,-0.6,3,-3,-0.3,.488,.496,-0.4,-0.1,-3,$327000,Amateur Draft,97/8D
10,Matt Albers*\alberma01,23,HOU,4,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.486,.500,-0.1,0.0,-1,,Amateur Draft,/1
11,Manny Alexander\alexama02,35,SDP,22,39,-4,-1,0,1,1,-3,-0.3,1,-2,-0.2,.488,.498,-0.3,0.2,-2,,Traded,5/6
12,Eliezer Alfonzo\alfonel01,27,SFG,87,309,-3,-1,-1,-2,5,-2,-0.2,10,8,0.7,.498,.499,0.9,0.3,10,,Free Agency,2
13,Sandy Alomar\alomasa02,40,LAD,27,62,-1,-1,0,-2,1,-4,-0.4,2,-2,-0.2,.487,.498,0.0,-0.1,0,$650000,Free Agency,2
14,Moises Alou\aloumo01,39,SFG,98,378,16,-1,-3,-5,-4,4,0.3,12,15,1.4,.504,.502,1.9,-0.9,20,$5827974,Free Agency,97/D
15,Alfredo Amezaga#\amezaal01,28,FLA,132,378,-12,-1,1,4,2,-6,-0.7,12,6,0.4,.495,.496,0.0,0.5,1,$340000,Free Agency,8476/539
16,Drew Anderson*\anderdr01,25,MIL,9,10,-2,0,0,0,0,-2,-0.2,0,-1,-0.1,.483,.499,-0.1,0.0,-1,,Amateur Draft,/79
17,Marlon Anderson*\anderma02,32,2TM,134,312,10,-1,0,-3,0,6,0.6,10,16,1.5,.505,.501,1.8,-0.4,19,$925000,Traded,7/49
18,Robert Andino\andinro01,22,FLA,11,28,-3,0,0,-1,0,-4,-0.4,1,-3,-0.3,.468,.498,-0.2,-0.1,-2,,Amateur Draft,/6
19,Greg Aquino\aquingr01,28,ARI,40,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$342000,Amateur Free Agent,1
20,Danny Ardoin\ardoida01,31,COL,35,120,-13,-1,0,3,2,-8,-0.9,4,-5,-0.5,.476,.495,-0.8,0.5,-8,$335000,Free Agency,2
21,Tony Armas\armasto02,28,WSN,29,56,-12,0,0,0,9,-4,-0.4,0,-4,-0.4,.487,.498,-0.4,0.0,-4,$2100000,Free Agency,1
22,Bronson Arroyo\arroybr01,29,CIN,34,94,-13,0,0,0,15,2,0.2,0,2,0.2,.505,.501,0.2,0.0,2,$3000000,Traded,1
23,Miguel Asencio\asencmi01,25,COL,3,3,-1,0,0,0,0,-1,0.0,0,-1,0.0,.485,.500,0.0,0.0,-1,,Free Agency,/1
24,Ezequiel Astacio\astacez01,26,HOU,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,/1
25,Pedro Astacio\astacpe01,37,WSN,17,34,-3,0,0,0,5,2,0.2,0,2,0.2,.510,.501,0.2,0.0,2,$750000,Free Agency,1
26,Garrett Atkins\atkinga01,26,COL,157,695,34,1,-4,-2,3,31,2.9,22,53,5.0,.519,.519,5.2,0.1,55,$335000,Amateur Draft,*5/3
27,Rich Aurilia\aurilri01,34,CIN,122,481,8,1,-2,-7,0,1,0.0,15,16,1.4,.500,.500,2.1,-0.7,23,$1300000,Free Agency,5364/D
28,Brad Ausmus\ausmubr01,37,HOU,139,502,-27,0,-1,3,8,-17,-1.7,16,-1,-0.3,.488,.490,-0.6,1.1,-4,,Free Agency,*2/43
29,Willy Aybar#\aybarwi01,23,2TM,79,278,2,-3,0,-3,2,-3,-0.3,9,6,0.5,.497,.499,0.8,-0.2,9,,Traded,5
30,Brandon Backe\backebr01,28,HOU,9,15,-2,0,0,0,2,-1,-0.1,0,-1,0.0,.494,.500,0.0,0.0,0,$442500,Traded,/1
31,Danys Baez\baezda01,28,2TM,53,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4000000,Traded,1
32,Jeff Bajenaru\bajenje01,28,ARI,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,/1
33,Jeff Baker\bakerje03,25,COL,18,58,7,0,0,-3,-1,4,0.4,2,6,0.6,.522,.502,0.8,-0.4,9,,Amateur Draft,9/73
34,Brian Bannister\bannibr01,25,NYM,8,13,0,0,0,0,2,2,0.2,0,2,0.2,.528,.501,0.2,0.0,2,$327000,Amateur Draft,/1
35,Josh Bard#\bardjo01,28,SDP,93,263,17,0,-1,-2,4,17,1.6,8,26,2.4,.518,.510,2.6,0.1,28,,Traded,2
36,Josh Barfield\barfijo02,23,SDP,150,578,0,3,2,5,4,15,1.3,18,33,3.1,.510,.509,2.6,0.8,28,$327000,Amateur Draft,*4
37,Clint Barmes\barmecl01,27,COL,131,535,-38,1,2,26,7,-3,-0.4,17,14,1.2,.498,.498,-1.4,3.2,-12,$335000,Amateur Draft,*6/4
38,Chris Barnwell\barnwch01,27,MIL,13,31,-6,0,0,0,0,-6,-0.6,1,-5,-0.5,.457,.497,-0.5,0.0,-5,,Amateur Draft,/645
39,Michael Barrett\barremi01,29,CHC,107,418,14,-2,0,-7,6,12,1.1,13,25,2.4,.511,.507,3.0,-0.1,32,$4333333,Traded,2/D
40,Kevin Barry\barryke01,27,ATL,18,2,-1,0,0,0,0,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,,Amateur Draft,1
41,Philip Barzilla*\barziph01,27,HOU,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1
42,Miguel Batista\batismi01,35,ARI,32,72,-13,-1,0,0,11,-2,-0.3,0,-2,-0.3,.493,.499,-0.3,0.0,-2,$4750000,Traded,1
43,Denny Bautista\bautide01,25,COL,4,1,0,0,0,0,0,0,0.0,0,0,0.0,.496,.500,0.0,0.0,0,,Traded,/1
44,Jose Bautista\bautijo02,25,PIT,117,469,-3,-3,-1,-18,1,-24,-2.5,15,-10,-1.1,.480,.485,0.7,-1.7,8,,Traded,859/74
45,Jason Bay\bayja01,27,PIT,159,689,32,2,-1,-2,-6,25,2.2,21,46,4.3,.515,.515,4.5,-0.8,48,$1000000,Traded,*7
46,Jonah Bayliss\baylijo01,25,PIT,11,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
47,Joe Beimel*\beimejo01,29,LAD,59,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
48,Matt Belisle\belisma01,26,CIN,30,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$343500,Traded,1
49,David Bell\bellda01,33,2TM,145,566,-10,1,-2,5,3,-3,-0.4,18,15,1.3,.498,.498,0.8,0.7,10,$4700000,Traded,5
50,Heath Bell\bellhe01,28,NYM,19,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Amateur Free Agent,1
51,Mark Bellhorn#\bellhma01,31,SDP,115,288,-11,0,1,11,0,1,0.0,9,10,0.9,.501,.500,-0.2,1.1,-1,$800000,Free Agency,534/D9
52,Ronnie Belliard\belliro01,31,STL,54,211,-9,-1,0,5,1,-5,-0.5,7,2,0.1,.492,.497,-0.4,0.6,-3,,Traded,4
53,Carlos Beltran#\beltrca01,29,NYM,140,617,45,4,2,13,3,68,6.4,19,87,8.2,.546,.540,7.0,1.6,74,$13571428,Free Agency,*8/D
54,Armando Benitez\benitar01,33,SFG,40,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6271206,Free Agency,1
55,Gary Bennett\bennega01,34,STL,60,170,-8,-1,0,-1,3,-6,-0.7,5,-1,-0.2,.490,.496,-0.1,0.2,0,$800000,Free Agency,2/3
56,Jason Bergmann\bergmja01,24,WSN,26,11,-2,0,0,0,2,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,$327000,Amateur Draft,1
57,Lance Berkman#\berkmla01,30,HOU,152,646,50,-2,0,3,-8,43,4.0,20,63,6.0,.527,.526,5.7,-0.6,60,$14500000,Amateur Draft,*39/7D
58,Adam Bernero\bernead01,29,PHI,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,/1
59,Wilson Betemit#\betemwi01,24,2TM,143,412,2,-1,-1,-13,3,-10,-1.0,13,3,0.2,.494,.497,1.5,-1.1,16,$345000,Amateur Free Agent,564/D
60,Larry Bigbie*\bigbila01,28,STL,17,28,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,.488,.499,-0.1,0.0,-1,$900000,Traded,7/9
61,Craig Biggio\biggicr01,40,HOU,145,607,-14,1,-1,-2,3,-13,-1.4,19,6,0.4,.491,.492,0.6,0.1,8,$4000000,Free Agency,*4/D
62,Chad Billingsley\billich01,21,LAD,16,28,-5,0,0,0,4,-1,-0.1,0,-1,-0.1,.496,.500,-0.1,0.0,-1,,Amateur Draft,1
63,Henry Blanco\blanche01,34,CHC,74,261,-6,-1,-1,1,4,-3,-0.3,8,6,0.5,.497,.498,0.4,0.5,5,$1500000,Free Agency,2/3
64,Geoff Blum#\blumge01,33,SDP,109,299,-9,0,1,8,3,2,0.2,9,12,1.1,.502,.501,0.3,1.1,4,$650000,Free Agency,65/349
65,Barry Bonds*\bondsba01,41,SFG,130,493,30,1,0,1,-4,27,2.5,15,42,4.0,.520,.516,3.9,-0.4,41,$19331470,Amateur Draft--no sign,*7/D
66,Chris Booker\bookech01,29,WSN,10,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Rule 5 returned,1
67,Joe Borchard#\borchjo01,27,FLA,108,261,-4,-1,0,-5,-3,-13,-1.3,8,-5,-0.5,.488,.492,0.0,-0.8,0,,Waivers,97/D3
68,Dave Borkowski\borkoda01,29,HOU,37,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,,Free Agency,1
69,Joe Borowski\borowjo01,35,FLA,68,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$327000,Free Agency,1
70,Michael Bourn*\bournmi01,23,PHI,17,11,-2,-1,0,0,0,-3,-0.3,0,-2,-0.2,.485,.498,-0.2,0.0,-2,,Amateur Draft,9/7
71,Rob Bowen#\bowenro01,25,SDP,94,110,-1,0,0,-1,1,-1,-0.1,3,3,0.3,.500,.500,0.4,0.0,4,,Waivers,2/3D
72,Micah Bowie*\bowiemi01,31,WSN,15,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Free Agency,1
73,Blaine Boyer\boyerbl01,24,ATL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$336000,Amateur Draft,/1
74,Chad Bradford\bradfch01,31,NYM,66,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1400000,Free Agency,1
75,Russell Branyan*\branyru01,30,SDP,27,89,7,-1,0,-1,0,6,0.6,3,9,0.9,.522,.504,1.0,-0.1,10,,Traded,5
76,Bill Bray*\braybi01,23,2TM,43,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
77,Dewon Brazelton\brazede01,26,SDP,9,4,0,0,0,0,1,1,0.1,0,1,0.1,.506,.500,0.1,0.0,1,$500000,Traded,/1
78,Yhency Brazoban\brazoyh01,26,LAD,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$345000,Traded,/1
79,Eude Brito*\britoeu01,27,PHI,5,7,-2,0,0,0,1,0,0.0,0,0,0.0,.492,.500,0.0,0.0,0,,Amateur Free Agent,/1
80,Doug Brocail*\brocado01,39,SDP,25,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1000000,Free Agency,1
81,Jim Brower\broweji01,33,SDP,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1
82,Jonathan Broxton\broxtjo01,22,LAD,65,4,1,0,0,0,1,1,0.1,0,1,0.1,.502,.501,0.1,0.0,1,,Amateur Draft,1
83,Eric Bruntlett\brunter01,28,HOU,73,136,-2,0,0,2,1,0,0.0,4,5,0.4,.501,.500,0.2,0.3,3,$365000,Amateur Draft,46/8795
84,Taylor Buchholz\buchhta01,24,HOU,21,35,-9,0,0,0,5,-3,-0.4,0,-3,-0.4,.484,.498,-0.4,0.0,-3,$327000,Traded,1
85,Chris Burke\burkech01,26,HOU,123,413,-2,1,1,-4,2,-2,-0.3,13,11,0.9,.498,.499,1.3,-0.3,15,$362500,Amateur Draft,487/69
86,Jeromy Burnitz*\burnije01,37,PIT,111,343,-9,-1,1,-5,-3,-16,-1.7,11,-6,-0.7,.485,.490,-0.2,-0.8,-1,$6000000,Free Agency,9
87,Mike Burns\burnsmi01,27,CIN,11,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$332500,Waivers,1
88,Pat Burrell\burrepa01,29,PHI,144,567,18,-3,-1,-15,-5,-5,-0.6,18,12,1.1,.496,.497,2.6,-2.0,27,$9750000,Amateur Draft,*7/D
89,Dave Bush\bushda01,26,MIL,33,72,-10,0,0,0,11,2,0.1,0,2,0.1,.504,.501,0.1,0.0,2,$352000,Traded,1
90,Freddie Bynum*\bynumfr01,26,CHC,71,148,-3,0,0,-6,0,-9,-0.9,5,-5,-0.5,.487,.494,0.1,-0.6,1,$327500,Traded,47/98
91,Marlon Byrd\byrdma01,28,WSN,78,228,-3,0,0,8,0,5,0.5,7,12,1.2,.507,.503,0.4,0.8,4,$800000,Traded,89/7
92,Eric Byrnes\byrneer01,30,ARI,143,606,-4,3,1,-1,2,1,0.0,19,20,1.8,.501,.501,1.9,0.1,21,$2250000,Free Agency,*879
93,Miguel Cabrera\cabremi01,23,FLA,158,676,52,-3,-1,-10,3,41,3.8,21,62,5.8,.525,.524,6.8,-0.7,72,$472000,Amateur Free Agent,*5/D
94,Matt Cain\cainma01,21,SFG,31,66,-11,0,0,0,10,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$328000,Amateur Draft,1
95,Alberto Callaspo#\callaal01,23,ARI,23,47,-3,-1,0,1,0,-2,-0.2,1,-1,-0.1,.490,.499,-0.2,0.1,-2,,Traded,/645
96,Mike Cameron\camermi01,33,SDP,141,634,21,2,1,0,3,27,2.5,19,46,4.4,.519,.516,4.4,0.3,46,$7333333,Traded,*8
97,Brett Campbell\campbbr02,24,WSN,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1
98,Jose Capellan\capeljo01,25,MIL,60,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$330000,Traded,1
99,Matt Capps\cappsma01,22,PIT,82,3,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$327000,Amateur Draft,1
100,Chris Capuano*\capuach01,27,MIL,34,75,-14,0,1,0,11,-3,-0.3,0,-3,-0.3,.492,.498,-0.3,0.0,-3,$450000,Traded,1
101,Chris Carpenter\carpech01,31,STL,30,80,-15,0,0,0,13,-2,-0.2,0,-2,-0.2,.493,.499,-0.2,0.0,-2,$5000000,Free Agency,1
102,Giovanni Carrara\carragi01,38,LAD,25,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
103,Jamey Carroll\carroja01,32,COL,136,534,-1,-4,0,19,4,18,1.7,17,34,3.3,.513,.511,1.4,2.2,15,$700000,Purchased,*46/5
104,Lance Carter\cartela02,31,LAD,10,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$550000,Traded,1
105,Sean Casey*\caseyse01,31,PIT,59,244,2,0,0,-7,-3,-8,-0.8,8,0,-0.1,.487,.495,0.6,-1.0,7,$8500000,Traded,3
106,Scott Cassidy\cassisc01,30,SDP,40,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$328000,Traded,1
107,Vinny Castilla\castivi02,38,2TM,87,291,-18,1,-1,-2,1,-19,-1.9,9,-10,-1.0,.479,.492,-0.9,-0.1,-8,$3200000,Free Agency,/35
108,Jose Castillo\castijo02,25,PIT,148,562,-20,0,-1,-11,4,-29,-2.9,18,-11,-1.3,.481,.483,-0.2,-0.8,0,$348000,Amateur Free Agent,*4
109,Bernie Castro#\castrbe01,26,WSN,42,120,-8,2,1,-4,1,-9,-0.9,4,-5,-0.5,.479,.495,-0.1,-0.3,-1,,Free Agency,4/7
110,Fabio Castro*\castrfa01,21,PHI,15,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,,Traded,1
111,Juan Castro\castrju01,34,CIN,54,100,-2,-1,0,8,2,7,0.6,3,10,0.9,.512,.504,0.2,0.9,2,,Traded,65/4
112,Ramon Castro\castrra01,30,NYM,40,144,-3,-2,0,2,2,0,-0.1,4,4,0.4,.499,.500,0.2,0.4,2,$800000,Free Agency,2
113,Ronny Cedeno\cedenro02,23,CHC,151,572,-39,-1,0,-1,8,-33,-3.4,18,-16,-1.7,.478,.479,-1.6,0.6,-15,$336000,Amateur Free Agent,*64
114,Matthew Cepicky*\cepicma01,28,FLA,9,19,-3,0,0,0,0,-3,-0.4,1,-3,-0.3,.461,.498,-0.3,0.0,-3,,Free Agency,/97
115,Shawn Chacon\chacosh01,28,PIT,9,15,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.491,.500,-0.1,0.0,-1,,Traded,/1
116,Endy Chavez*\chaveen01,28,NYM,133,390,1,2,1,6,-3,7,0.6,12,19,1.8,.505,.504,1.2,0.3,13,$500000,Free Agency,*978
117,Randy Choate*\choatra01,30,ARI,27,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
118,Vinnie Chulk\chulkvi01,27,SFG,28,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
119,Ryan Church*\churcry01,27,WSN,71,230,9,0,0,-2,0,8,0.8,7,15,1.5,.511,.505,1.6,-0.2,17,,Traded,89/7
120,Jeff Cirillo\cirilje01,36,MIL,112,290,5,1,-1,2,1,8,0.7,9,17,1.6,.507,.505,1.4,0.2,15,$850000,Free Agency,534/6
121,Brady Clark\clarkbr02,33,MIL,138,483,-12,-1,1,2,2,-9,-1.0,15,6,0.5,.494,.495,0.3,0.4,4,$3200000,Waivers,*8/97
122,Tony Clark#\clarkto02,34,ARI,79,147,-8,0,0,-4,-2,-15,-1.5,5,-10,-1.0,.482,.491,-0.6,-0.6,-6,$1034000,Free Agency,3
123,Brandon Claussen\clausbr01,27,CIN,13,24,-6,0,0,0,4,-2,-0.2,0,-2,-0.2,.488,.499,-0.2,0.0,-2,$370000,Traded,1
124,Royce Clayton\claytro01,36,2TM,137,502,-21,2,1,-10,6,-22,-2.3,16,-6,-0.8,.484,.493,0.2,-0.4,4,$1000000,Traded,6
125,Roger Clemens\clemero02,43,HOU,18,38,-6,0,0,0,6,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$12200000,Free Agency,1
126,JD Closser#\clossjd01,26,COL,32,112,-9,0,1,2,2,-5,-0.5,3,-1,-0.2,.485,.497,-0.4,0.4,-3,,Traded,2
127,Buck Coats*\coatsbu01,24,CHC,18,18,-1,0,0,1,0,0,0.0,1,0,0.0,.498,.500,-0.1,0.1,-1,,Amateur Draft,/89
128,Todd Coffey\coffeto01,25,CIN,79,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$339000,Amateur Draft,1
129,Alvin Colina\colinal01,24,COL,2,5,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.465,.500,-0.1,0.0,-1,,Amateur Free Agent,/2
130,Clay Condrey\condrcl01,30,PHI,18,2,-1,0,0,0,0,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,,Free Agency,1
131,Jeff Conine\coninje01,40,PHI,28,107,-3,1,1,-1,-1,-4,-0.4,3,-1,-0.1,.486,.498,0.0,-0.3,0,,Traded,97
