Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,Fernando Abad*\abadfe01,33,SFG,13.0,21,0,6,4.15,5.06,0.22,-0.34,96.4,4.34,0,0.0,1.77,0.0,0.1,1,.501,.500,$100000,Free Agency
2,Austin Adams\adamsau02,28,WSN,1.0,1,0,1,9.00,4.28,-0.02,-0.29,92.0,3.69,-1,-0.1,.12,0.0,0.0,0,.444,.500,,Traded
3,Dario Agrazal\agrazda01,24,PIT,73.1,15,14,43,5.28,4.75,-0.47,0.20,97.3,5.27,0,0.0,.09,0.0,0.6,7,.501,.500,,Amateur Free Agent
4,R.J. Alaniz\alanirj01,28,CIN,11.2,8,0,7,5.40,4.91,0.25,-0.33,98.1,4.25,-1,-0.1,.75,0.0,0.0,0,.482,.499,,Waivers
5,Matt Albers\alberma01,36,MIL,59.2,67,0,34,5.13,4.98,0.28,-0.34,99.1,4.32,-5,-0.5,1.37,-0.2,-0.2,0,.492,.497,$2500000,Free Agency
6,Sandy Alcantara\alcansa01,23,MIA,197.1,32,32,94,4.29,4.84,-0.06,0.22,96.4,4.93,14,1.5,,-0.1,3.1,32,.547,.509,$555000,Traded
7,Scott Alexander*\alexasc02,29,LAD,17.1,28,0,7,3.63,5.27,0.58,-0.36,93.8,4.07,1,0.1,1.29,0.0,0.2,2,.503,.501,$575000,Traded
8,Logan Allen*\allenlo01,22,SDP,25.1,8,4,20,7.11,4.80,0.24,0.09,93.2,4.33,-8,-0.7,.66,0.0,-0.5,-5,.410,.496,,Traded
9,Yency Almonte\almonye01,25,COL,34.0,28,0,22,5.82,5.09,-0.09,-0.34,117.7,5.69,0,0.0,.87,-0.1,0.2,3,.498,.500,,Traded
10,Aaron Altherr\altheaa01,28,PHI,1.0,1,0,1,9.00,4.91,0.23,-0.33,104.0,4.51,0,0.0,.00,0.0,0.0,0,.452,.500,$1350000,Amateur Draft
11,Jose Alvarez*\alvarjo02,30,PHI,59.0,67,1,25,3.81,4.82,0.24,-0.31,102.0,4.35,4,0.4,1.14,-0.1,0.8,9,.506,.502,$1925000,Traded
12,Adbert Alzolay\alzolad01,24,CHC,12.1,4,2,10,7.30,5.08,-0.02,0.00,99.3,5.06,-3,-0.3,.48,0.0,-0.2,-2,.428,.498,,Amateur Free Agent
13,Chase Anderson\anderch01,31,MIL,139.0,32,27,67,4.34,4.89,0.29,0.18,99.2,4.74,7,0.7,.40,-0.1,1.8,19,.521,.504,$6500000,Traded
14,Drew Anderson\anderdr02,25,PHI,6.0,2,0,5,7.50,5.69,0.23,-0.39,89.3,4.53,-2,-0.2,.62,0.0,-0.1,-1,.409,.499,,Amateur Draft
