Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,Paul Abbott\abbotpa01,34,SEA,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$3425000,Free Agency,/1
2,Brent Abernathy\abernbr01,24,TBD,117,504,-23,1,1,-1,3,-20,-1.9,19,-1,-0.2,.483,.488,0.0,0.2,0,$215000,Traded,*4/D
3,Juan Acevedo\aceveju01,32,DET,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$850000,Free Agency,1
4,Jeremy Affeldt*\affelje01,23,KCR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$200000,Amateur Draft,1
5,Benny Agbayani\agbaybe01,30,BOS,13,43,-1,0,0,4,-1,3,0.3,2,4,0.4,.520,.502,0.0,0.3,0,,Waivers,7/98
6,Luis Alicea#\alicelu01,36,KCR,94,273,-13,0,0,2,0,-11,-1.1,10,-1,-0.1,.488,.493,-0.3,0.2,-3,$800000,Free Agency,45D/3796
7,Chad Allen\allench01,27,CLE,5,11,-1,0,0,0,0,-2,-0.2,0,-1,-0.1,.467,.499,-0.1,-0.1,-1,,Free Agency,/79
8,Sandy Alomar\alomasa02,36,CHW,51,176,1,-2,-1,-1,3,0,0.0,7,7,0.7,.501,.500,0.8,0.2,8,$2500000,Free Agency,2
9,Juan Alvarez*\alvarju01,28,TEX,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
10,Wilson Alvarez*\alvarwi01,32,TBD,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.470,.500,-0.1,0.0,-1,$8000000,Free Agency,1
11,Alfredo Amezaga#\amezaal01,24,ANA,12,13,2,1,0,1,0,3,0.3,0,4,0.4,.527,.502,0.3,0.1,3,,Amateur Draft,/6D
12,Brady Anderson*\anderbr01,38,CLE,34,101,-4,1,-1,-2,0,-5,-0.5,4,-2,-0.2,.484,.497,0.0,-0.2,0,$200000,Free Agency,87/9D
13,Garret Anderson*\anderga01,30,ANA,158,678,21,-3,2,12,-6,27,2.7,25,52,5.1,.517,.516,3.9,0.7,40,$5000000,Amateur Draft,*78D
14,Matt Anderson\anderma01,25,DET,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$1800000,Amateur Draft,1
15,Shane Andrews\andresh01,30,BOS,7,15,-2,0,0,1,0,-1,-0.1,1,-1,-0.1,.480,.499,-0.2,0.1,-2,,Free Agency,/53D7
16,Kevin Appier\appieke01,34,ANA,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.470,.500,-0.1,0.0,-1,$9500000,Traded,1
17,Alex Arias\ariasal01,34,NYY,6,8,-2,0,0,1,0,-1,-0.1,0,-1,-0.1,.485,.499,-0.1,0.1,-1,,Free Agency,/56
18,Rolando Arrojo\arrojro01,36,BOS,2,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.477,.500,-0.1,0.0,-1,$1900000,Traded,1
19,Miguel Asencio\asencmi01,21,KCR,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.467,.500,0.0,0.0,0,$200000,Rule 5 Draft,1
20,Jeff Austin\austije01,25,KCR,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$205000,Amateur Draft,1
21,Bruce Aven\avenbr01,30,CLE,7,21,-2,0,0,1,0,-1,-0.1,1,0,0.0,.483,.499,-0.2,0.1,-2,,Free Agency,/789
22,Brandon Backe\backebr01,24,TBD,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
23,Carlos Baerga#\baergca01,33,BOS,73,194,-6,1,0,0,-3,-8,-0.8,7,0,-0.1,.490,.495,-0.1,-0.2,-1,$700000,Free Agency,D4/5
24,Danys Baez\baezda01,24,CLE,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.470,.500,0.0,0.0,0,$4125000,Amateur Free Agent,1
25,Cory Bailey\baileco01,31,KCR,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$320000,Free Agency,1
26,James Baldwin\baldwja01,30,SEA,1,2,1,0,0,0,0,1,0.1,0,1,0.1,.610,.501,0.1,0.0,1,$1250000,Free Agency,1
27,Willie Banks\bankswi01,33,BOS,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$450000,Free Agency,1
28,Lorenzo Barcelo\barcelo01,24,CHW,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$240000,Traded,/1
29,Josh Bard#\bardjo01,24,CLE,24,95,-2,-1,0,1,1,0,0.0,4,4,0.3,.500,.500,0.2,0.3,2,,Traded,2
30,Tony Batista\batisto01,28,BAL,161,682,1,0,-2,4,3,6,0.6,26,32,3.1,.504,.504,2.7,0.7,27,$4900000,Waivers,*5/D
31,Rick Bauer\bauerri01,25,BAL,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$200000,Amateur Draft,1
32,Steve Bechler\bechlst01,22,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
33,Erik Bedard*\bedarer01,23,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
34,Rob Bell\bellro01,25,TEX,1,2,0,0,0,0,0,0,0.0,0,0,0.0,.540,.500,0.0,0.0,0,,Traded,1
35,Clay Bellinger\bellicl01,33,ANA,2,1,0,0,0,0,0,0,0.0,0,0,0.0,.485,.500,0.0,0.0,0,,Free Agency,/3
36,Carlos Beltran#\beltrca01,25,KCR,162,722,15,6,1,-6,3,18,1.8,26,45,4.3,.511,.511,4.9,-0.3,50,$3500000,Amateur Draft,*8D
37,Joaquin Benoit\benoijo01,24,TEX,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Free Agent,1
38,Dave Berg\bergda01,31,TOR,109,414,-8,-1,1,-3,1,-10,-1.0,16,6,0.5,.491,.494,0.8,-0.2,8,$450000,Free Agency,45639/D7
39,Brandon Berger\bergebr01,27,KCR,51,145,-9,0,0,1,-2,-12,-1.2,5,-6,-0.6,.477,.493,-0.7,-0.2,-7,$202000,Amateur Draft,97D/83
40,Adam Bernero\bernead01,25,DET,2,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.465,.500,-0.1,0.0,-1,,Amateur Free Agent,1
41,Angel Berroa\berroan01,24,KCR,20,83,-1,0,0,2,1,3,0.3,3,6,0.6,.513,.502,0.4,0.3,4,,Traded,6
42,Jason Beverlin*\beverja01,28,2TM,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,/1
43,Rocky Biddle\biddlro01,26,CHW,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$250000,Amateur Draft,1
44,Larry Bigbie*\bigbila01,24,BAL,16,36,-5,0,0,1,0,-4,-0.4,1,-2,-0.2,.478,.498,-0.4,0.1,-3,,Amateur Draft,/798
45,Casey Blake\blakeca01,28,MIN,9,22,-1,0,0,-1,0,-3,-0.2,1,-2,-0.2,.473,.498,-0.1,-0.1,0,,Waivers,/53D
46,Hank Blalock*\blaloha01,21,TEX,49,172,-8,0,0,-2,1,-9,-0.9,6,-3,-0.3,.482,.494,-0.1,-0.1,0,$200000,Amateur Draft,5
47,Willie Bloomquist\bloomwi01,24,SEA,12,38,6,0,0,0,0,6,0.6,1,7,0.7,.547,.503,0.7,0.0,7,,Amateur Draft,/74D
48,Hiram Bocachica\bocachi01,26,DET,34,109,-3,-1,0,-2,0,-6,-0.6,4,-2,-0.2,.482,.496,0.0,-0.2,0,,Traded,8/94D7
