Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,Reggie Abercrombie\abercre01,27,HOU,34,60,2,-1,0,1,0,3,0.2,2,5,0.4,.508,.502,0.3,0.1,3,,Free Agency,78
2,Manny Acosta\acostma01,27,ATL,43,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.499,.500,-0.1,0.0,-1,$392500,Free Agency,1
3,Mike Adams\adamsmi03,29,SDP,51,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
4,Jon Adkins*\adkinjo01,30,CIN,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1
5,Jeremy Affeldt*\affelje01,29,CIN,68,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3000000,Free Agency,1
6,Chris Aguila\aguilch01,29,NYM,8,15,-1,-1,0,0,0,-2,-0.2,0,-2,-0.2,.472,.499,-0.2,0.0,-2,,Free Agency,/7
7,Eliezer Alfonzo\alfonel01,29,SFG,5,11,-2,0,0,-1,0,-4,-0.4,0,-4,-0.4,.421,.498,-0.3,-0.1,-2,,Free Agency,/2
8,Moises Alou\aloumo01,41,NYM,15,54,2,-1,0,-1,-1,-1,-0.1,2,1,0.1,.495,.500,0.2,-0.2,2,$7500000,Free Agency,7/D
9,Chip Ambres\ambrech01,28,SDP,24,48,-1,0,0,1,0,0,0.0,2,2,0.2,.502,.500,0.1,0.1,1,,Free Agency,/98
10,Alfredo Amezaga#\amezaal01,30,FLA,125,337,-12,2,1,14,3,9,0.8,11,19,1.8,.507,.505,0.4,1.7,5,$945000,Free Agency,8654
11,Josh Anderson*\anderjo03,25,ATL,40,146,-1,2,1,6,0,8,0.8,5,13,1.2,.521,.505,0.7,0.6,7,,Traded,8/79
12,Marlon Anderson*\anderma02,34,NYM,87,151,-10,1,1,4,-1,-7,-0.7,5,-2,-0.3,.492,.496,-0.7,0.2,-6,$1050000,Free Agency,7/34D
13,Robert Andino\andinro01,24,FLA,44,68,-5,1,0,4,1,1,0.1,2,3,0.3,.503,.501,-0.1,0.5,-1,$390000,Amateur Draft,4/658
14,Rick Ankiel*\ankieri01,28,STL,120,463,11,0,0,-5,1,7,0.6,14,22,2.0,.506,.504,2.5,-0.4,27,$900000,Free Agency,87/9
15,Matt Antonelli\antonma01,23,SDP,21,65,-2,0,0,-3,0,-4,-0.5,2,-2,-0.3,.480,.497,0.1,-0.3,1,,Amateur Draft,4
16,Danny Ardoin\ardoida01,33,LAD,24,54,-3,0,0,3,1,1,0.1,2,3,0.3,.505,.501,0.0,0.4,0,,Free Agency,2
17,Alberto Arias\ariasal02,24,2TM,15,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,,Amateur Free Agent,1
18,Tony Armas\armasto02,30,NYM,3,3,-1,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,Free Agency,/1
19,Bronson Arroyo\arroybr01,31,CIN,38,74,-6,-1,1,0,9,4,0.3,0,4,0.4,.509,.502,0.4,0.0,4,$4575000,Traded,1
20,Jose Ascanio\ascanjo01,23,CHC,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,/1
21,Garrett Atkins\atkinga01,28,COL,155,664,-3,0,-2,-14,-1,-20,-2.3,21,1,-0.3,.487,.487,1.2,-1.7,14,$4387500,Amateur Draft,53/4
22,Rich Aurilia\aurilri01,36,SFG,140,440,-4,-3,-1,-6,-4,-17,-1.9,14,-4,-0.6,.487,.489,0.1,-1.1,2,$4500000,Free Agency,35/D4
23,Brad Ausmus\ausmubr01,39,HOU,81,250,-11,-1,0,0,4,-8,-0.9,8,0,-0.2,.490,.495,-0.1,0.4,0,$2000000,Free Agency,2/345
24,Luis Ayala\ayalalu01,30,2TM,79,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1700000,Traded,1
25,Brandon Backe\backebr01,30,HOU,29,56,0,0,0,0,8,8,0.8,0,8,0.8,.527,.505,0.8,0.0,8,$800000,Traded,1
26,Burke Badenhop\badenbu01,25,FLA,12,14,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.490,.499,-0.1,0.0,-1,,Traded,1
27,Cha-Seung Baek\baekch01,28,SDP,23,38,-2,0,0,0,5,3,0.3,0,3,0.3,.512,.502,0.3,0.0,3,,Traded,1
28,Homer Bailey\baileho02,22,CIN,8,12,-2,0,0,0,2,-1,-0.1,0,-1,-0.1,.491,.500,-0.1,0.0,-1,,Amateur Draft,/1
29,Jeff Baker\bakerje03,27,COL,104,333,-3,1,0,-3,0,-5,-0.6,10,5,0.4,.495,.497,0.7,-0.4,8,$403000,Amateur Draft,43/5D9
30,John Baker*\bakerjo01,27,FLA,61,233,6,1,0,-2,4,8,0.8,7,15,1.4,.513,.505,1.7,0.1,17,,Traded,2
31,Paul Bako*\bakopa01,36,CIN,99,338,-18,-1,0,-3,6,-16,-1.8,11,-6,-0.7,.483,.490,-0.4,0.2,-3,$750000,Free Agency,2
32,Collin Balester\balesco01,22,WSN,15,25,-2,0,0,0,4,2,0.1,0,2,0.1,.510,.501,0.2,0.0,2,,Amateur Draft,1
33,Josh Banks\banksjo01,25,SDP,18,27,-4,0,0,0,3,0,-0.1,0,0,0.0,.498,.500,0.0,0.0,0,,Waivers,1
34,Josh Bard#\bardjo01,30,SDP,57,198,-11,0,1,-1,3,-8,-0.8,6,-1,-0.2,.487,.495,-0.1,0.2,0,$2237500,Traded,2
35,Brian Barden\bardebr01,27,STL,9,10,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.487,.499,-0.1,0.0,-1,,Waivers,/534
36,Clint Barmes\barmecl01,29,COL,107,417,-1,4,-1,7,4,12,1.1,13,25,2.4,.512,.508,1.7,1.0,18,$405000,Amateur Draft,465/9
37,Michael Barrett\barremi01,31,SDP,30,107,-4,0,0,-3,2,-5,-0.5,3,-2,-0.2,.483,.497,0.1,-0.1,1,$3500000,Traded,2
38,Jimmy Barthmaier\barthji01,24,PIT,3,3,-1,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,Waivers,/1
39,Brian Barton\bartobr01,26,STL,82,179,1,0,0,1,-1,1,0.0,6,6,0.5,.501,.500,0.5,-0.1,5,$390000,Rule 5 Draft,79/8
