Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,Winston Abreu\abreuwi01,29,BAL,8.0,7,0,10,11.25,5.29,-0.06,-0.39,97.2,4.82,-6,-0.5,.06,0.2,-0.2,-5,.424,.497,,Free Agency
2,Jeremy Accardo\accarje01,24,TOR,28.2,27,0,19,5.97,5.21,0.43,-0.39,98.7,4.34,-5,-0.5,.68,0.0,-0.2,-2,.481,.497,,Traded
3,Jeremy Affeldt*\affelje01,27,KCR,70.0,27,9,51,6.56,5.18,0.19,-0.03,102.8,5.11,-12,-1.1,1.12,-0.1,-0.5,-3,.458,.493,$1000000,Amateur Draft
4,Antonio Alfonseca\alfonan01,34,TEX,16.0,19,0,10,5.63,5.01,0.07,-0.37,99.9,4.57,-2,-0.2,.91,0.0,-0.1,0,.490,.499,$2750000,Free Agency
5,Abe Alvarez*\alvarab01,23,BOS,3.0,1,0,4,12.00,5.16,-0.21,-0.38,108.0,5.39,-2,-0.2,.86,0.0,-0.2,-2,.318,.499,,Amateur Draft
6,Steve Andrade\andrast01,28,KCR,4.2,4,0,5,9.64,5.21,0.16,-0.39,103.8,4.84,-3,-0.2,.35,0.1,-0.1,-2,.441,.499,,Waivers
7,Cha-Seung Baek\baekch01,26,SEA,34.1,6,6,15,3.93,5.11,0.28,0.20,96.6,4.85,3,0.3,,0.0,0.7,7,.554,.502,,Free Agency
8,Scott Baker\bakersc02,24,MIN,83.1,16,16,63,6.80,5.10,0.08,0.19,97.4,5.07,-17,-1.5,,0.0,-0.7,-7,.406,.491,$330000,Amateur Draft
9,Rick Bauer\bauerri01,29,TEX,71.0,58,1,31,3.93,4.98,0.06,-0.30,101.0,4.67,5,0.5,.97,-0.2,1.1,14,.509,.503,,Free Agency
10,Denny Bautista\bautide01,25,KCR,35.0,8,7,24,6.17,5.25,0.18,0.15,102.2,5.34,-4,-0.3,.71,0.0,0.0,1,.458,.498,$335500,Traded
11,T.J. Beam\beamtj01,25,NYY,18.0,20,0,17,8.50,5.18,-0.39,-0.39,98.6,5.11,-7,-0.7,.51,0.1,-0.4,-5,.467,.496,,Amateur Draft
12,Colter Bean\beanco01,29,NYY,2.0,2,0,2,9.00,5.09,-0.32,-0.38,101.0,5.09,-1,-0.1,.27,0.0,0.0,-1,.458,.499,,Rule 5 returned
13,Josh Beckett\beckejo02,26,BOS,204.2,33,33,120,5.28,5.10,-0.17,0.19,104.3,5.70,8,0.8,,-0.1,2.7,33,.523,.505,$4325000,Traded
14,Erik Bedard*\bedarer01,27,BAL,196.1,33,33,92,4.22,5.00,-0.05,0.19,98.7,5.17,19,1.9,,-0.1,3.8,43,.558,.512,$1400000,Amateur Draft
15,Joaquin Benoit\benoijo01,28,TEX,79.2,56,0,49,5.54,4.97,0.05,-0.37,101.0,4.59,-9,-0.9,.84,-0.1,-0.2,1,.484,.495,$775000,Amateur Free Agent
16,Kris Benson\bensokr01,31,BAL,183.0,30,30,105,5.16,5.10,-0.05,0.19,98.6,5.26,0,0.0,,-0.1,1.8,23,.501,.500,$8333333,Traded
17,Adam Bernero\bernead01,29,KCR,13.0,3,2,2,1.38,5.28,0.16,0.14,101.5,5.34,6,0.6,1.07,0.0,0.7,7,.703,.504,,Free Agency
18,Rafael Betancourt\betanra01,31,CLE,56.2,50,0,25,3.97,5.03,-0.17,-0.37,99.3,4.79,5,0.5,1.30,-0.1,1.0,12,.509,.503,$365300,Free Agency
19,Kurt Birkins*\birkiku01,25,BAL,31.0,35,0,19,5.52,5.11,-0.05,-0.31,99.3,4.81,-3,-0.3,.91,-0.1,0.0,1,.493,.498,,Amateur Draft
20,Joe Blanton\blantjo01,25,OAK,194.1,32,31,111,5.14,4.93,0.01,0.18,96.5,4.92,-7,-0.6,.25,-0.1,1.2,17,.480,.496,$327000,Amateur Draft
21,Jeremy Bonderman\bondeje01,23,DET,214.0,34,34,104,4.37,5.02,0.23,0.19,98.6,4.91,11,1.1,,-0.1,3.2,37,.532,.507,$2300000,Traded
22,Boof Bonser\bonsebo01,24,MIN,100.1,18,18,50,4.49,4.85,0.07,0.19,97.7,4.85,3,0.3,,-0.1,1.3,15,.517,.502,,Traded
23,Chris Booker\bookech01,29,KCR,1.0,1,0,6,54.00,4.92,0.43,-0.37,98.0,4.04,-6,-0.3,.08,0.2,-0.2,-5,.161,.498,,Waivers
24,Chris Bootcheck\bootcch01,27,LAA,10.1,7,0,12,10.45,5.23,0.00,-0.39,99.1,4.80,-7,-0.6,.68,0.1,-0.4,-5,.415,.496,,Amateur Draft
25,Ryan Braun\braunry01,25,KCR,10.2,9,0,8,6.75,5.27,0.18,-0.39,103.1,4.84,-2,-0.2,.84,0.0,-0.1,-1,.475,.499,,Amateur Draft
26,Craig Breslow*\breslcr01,25,BOS,12.0,13,0,5,3.75,5.07,-0.17,-0.38,105.6,5.13,2,0.2,1.18,0.0,0.3,3,.513,.501,,Free Agency
27,Chris Britton\brittch01,23,BAL,53.2,52,0,22,3.69,5.09,-0.05,-0.38,98.3,4.67,5,0.5,.83,-0.2,0.9,12,.510,.503,,Amateur Draft
28,Jim Brower\broweji01,33,BAL,12.1,12,0,19,13.86,5.05,-0.06,-0.38,98.3,4.65,-13,-1.1,.62,0.2,-0.8,-11,.405,.493,$700000,Free Agency
29,Andrew Brown\brownan01,25,CLE,10.0,9,0,4,3.60,4.98,-0.15,-0.37,98.6,4.70,1,0.1,.37,-0.1,0.2,2,.512,.501,,Traded
30,Brian Bruney\brunebr01,24,NYY,20.2,19,0,2,0.87,4.86,-0.25,-0.36,99.8,4.75,9,0.9,1.13,0.0,1.1,11,.546,.505,,Free Agency
31,Mark Buehrle*\buehrma01,27,CHW,204.0,32,32,124,5.47,5.00,-0.24,0.19,104.7,5.69,3,0.3,,-0.1,2.3,28,.509,.502,$8000000,Amateur Draft
32,Jason Bulger\bulgeja01,27,LAA,1.2,2,0,3,16.20,5.21,0.00,-0.39,100.0,4.82,-2,-0.2,.29,0.1,-0.1,-2,.405,.499,,Traded
33,Ambiorix Burgos\burgoam01,22,KCR,73.1,68,1,49,6.01,5.07,0.16,-0.36,103.3,4.71,-11,-1.1,1.66,-0.5,-0.8,-2,.484,.493,$339500,Amateur Free Agent
34,A.J. Burnett\burnea.01,29,TOR,135.2,21,21,67,4.44,5.08,0.36,0.19,99.8,4.91,6,0.6,,-0.1,1.9,22,.527,.503,$2200000,Free Agency
35,Mike Burns\burnsmi01,27,BOS,7.2,7,0,4,4.70,5.09,-0.19,-0.38,100.6,4.94,0,0.0,.30,0.0,0.1,1,.502,.500,,Traded
36,Brian Burres*\burrebr01,25,BAL,8.0,11,0,2,2.25,5.48,-0.05,-0.41,99.4,5.09,2,0.2,1.56,0.0,0.4,3,.522,.502,,Waivers
37,Paul Byrd\byrdpa01,35,CLE,179.0,31,31,120,6.03,4.95,-0.21,0.19,98.7,5.27,-17,-1.6,,-0.1,0.2,5,.449,.490,$7000000,Free Agency
38,Tim Byrdak*\byrdati01,32,BAL,7.0,16,0,10,12.86,5.80,-0.07,-0.43,98.7,5.37,-6,-0.6,1.28,-0.1,-0.6,-5,.465,.497,$335000,Conditional Deal
39,Daniel Cabrera\cabreda01,25,BAL,148.0,26,26,82,4.99,5.10,-0.04,0.19,99.3,5.30,4,0.4,,-0.1,1.8,22,.514,.502,$385000,Amateur Free Agent
40,Fernando Cabrera\cabrefe01,24,CLE,60.2,51,0,36,5.34,5.00,-0.14,-0.37,98.6,4.70,-5,-0.5,.95,-0.1,0.0,3,.491,.497,$330800,Amateur Draft
41,Kiko Calero\calerki01,31,OAK,58.0,70,0,22,3.41,5.08,0.01,-0.38,97.3,4.56,7,0.7,1.40,0.0,1.3,14,.510,.504,$850000,Traded
42,Shawn Camp\campsh01,30,TBD,75.0,75,0,43,5.16,5.14,-0.23,-0.38,99.8,4.97,-2,-0.2,1.59,-0.3,0.3,7,.497,.499,$335000,Free Agency
43,Jorge Campillo\campijo01,27,SEA,2.1,1,0,4,15.43,5.08,0.42,-0.38,94.0,4.02,-3,-0.2,.14,0.1,-0.1,-3,.273,.499,,Free Agency
44,Hector Carrasco\carrahe01,36,LAA,100.1,56,3,42,3.77,5.05,0.00,-0.27,98.8,4.73,10,1.0,.66,-0.4,1.7,22,.517,.506,$2600000,Free Agency
45,Santiago Casilla\garcija01,25,OAK,2.1,2,0,3,11.57,5.04,0.01,-0.37,102.4,4.77,-2,-0.2,.28,0.1,-0.1,-1,.419,.499,,Amateur Free Agent
46,Fabio Castro*\castrfa01,21,TEX,8.1,4,0,5,5.40,4.84,0.05,-0.36,101.5,4.49,-1,-0.1,.76,0.0,0.0,0,.478,.499,$327000,Traded
47,Gustavo Chacin*\chacigu01,25,TOR,87.1,17,17,51,5.26,5.05,0.39,0.19,100.3,4.86,-5,-0.4,,-0.1,0.4,6,.474,.497,$347500,Amateur Free Agent
48,Shawn Chacon\chacosh01,28,NYY,63.0,17,11,54,7.71,4.94,-0.39,0.08,97.9,5.30,-18,-1.6,.72,0.0,-0.9,-10,.407,.490,$3600000,Traded
49,Bruce Chen*\chenbr01,29,BAL,98.2,40,12,81,7.39,5.09,-0.05,-0.04,98.8,5.05,-27,-2.5,.37,0.2,-1.2,-14,.438,.485,$3800000,Conditional Deal
50,Travis Chick\chicktr01,22,SEA,5.0,3,0,7,12.60,5.26,0.36,-0.39,96.8,4.37,-5,-0.4,.31,0.1,-0.2,-4,.367,.498,,Traded
51,Jason Childers\childja01,31,TBD,7.2,5,0,6,7.04,5.01,-0.28,-0.37,102.8,5.05,-2,-0.2,.87,0.0,-0.1,-1,.466,.499,$327000,Free Agency
52,Vinnie Chulk\chulkvi01,27,TOR,24.0,20,0,16,6.00,5.11,0.40,-0.38,100.2,4.33,-5,-0.4,.76,0.0,-0.2,-2,.478,.497,$348500,Amateur Draft
