team,year,name,nameKey,pos
ANA,2000,B.Molina,molinbe01,C
ANA,2000,M.Vaughn,vaughmo01,1B
ANA,2000,A.Kennedy,kennead01,2B
ANA,2000,T.Glaus,glaustr01,3B
ANA,2000,B.Gil,gilbe01,SS
ANA,2000,D.Erstad,erstada01,LF
ANA,2000,G.Anderson,anderga01,CF
ANA,2000,T.Salmon,salmoti01,RF
ANA,2000,S.Spiezio,spiezsc01,DH
ARI,2000,D.Miller,milleda02,C
ARI,2000,G.Colbrunn,colbrgr01,1B
ARI,2000,J.Bell,bellja01,2B
ARI,2000,M.Williams,willima04,3B
ARI,2000,T.Womack,womacto01,SS
ARI,2000,L.Gonzalez,gonzalu01,LF
ARI,2000,S.Finley,finlest01,CF
ARI,2000,D.Bautista,bautida01,RF
ARI,2000,R.Ryan,ryanro02,DH
ATL,2000,J.Lopez,lopezja01,C
ATL,2000,A.Galarraga,galaran01,1B
ATL,2000,Q.Veras,verasqu01,2B
ATL,2000,C.Jones,jonesch06,3B
ATL,2000,R.Furcal,furcara02,SS
ATL,2000,R.Sanders,sandere02,LF
ATL,2000,A.Jones,jonesan01,CF
ATL,2000,B.Jordan,jordabr01,RF
ATL,2000,W.Joyner,joynewa01,DH
BAL,2000,C.Johnson,johnsch04,C
BAL,2000,W.Clark,clarkwi02,1B
BAL,2000,D.DeShields,deshide01,2B
BAL,2000,C.Ripken,ripkeca01,3B
BAL,2000,M.Bordick,bordimi01,SS
BAL,2000,B.Surhoff,surhob.01,LF
BAL,2000,B.Anderson,anderbr01,CF
BAL,2000,A.Belle,belleal01,RF
BAL,2000,H.Baines,baineha01,DH
BOS,2000,J.Varitek,varitja01,C
BOS,2000,B.Daubach,daubabr01,1B
BOS,2000,J.Offerman,offerjo01,2B
BOS,2000,M.Alexander,alexama02,3B
BOS,2000,N.Garciaparra,garcino01,SS
BOS,2000,T.O'Leary,o'leatr01,LF
BOS,2000,C.Everett,evereca01,CF
BOS,2000,T.Nixon,nixontr01,RF
BOS,2000,D.Bichette,bicheda01,DH
CHC,2000,J.Girardi,girarjo01,C
CHC,2000,M.Grace,gracema01,1B
CHC,2000,E.Young,younger01,2B
CHC,2000,W.Greene,greenwi01,3B
CHC,2000,R.Gutierrez,gutieri01,SS
CHC,2000,H.Rodriguez,rodrihe02,LF
CHC,2000,D.Buford,buforda01,CF
CHC,2000,S.Sosa,sosasa01,RF
CHC,2000,G.Hill,hillgl01,DH
CHW,2000,M.Johnson,johnsma02,C
CHW,2000,P.Konerko,konerpa01,1B
CHW,2000,R.Durham,durhara01,2B
CHW,2000,H.Perry,perryhe01,3B
CHW,2000,J.Valentin,valenjo03,SS
CHW,2000,C.Lee,leeca01,LF
CHW,2000,C.Singleton,singlch01,CF
CHW,2000,M.Ordonez,ordonma01,RF
CHW,2000,F.Thomas,thomafr04,DH
CIN,2000,B.Santiago,santibe01,C
CIN,2000,S.Casey,caseyse01,1B
CIN,2000,P.Reese,reesepo01,2B
CIN,2000,A.Boone,booneaa01,3B
CIN,2000,B.Larkin,larkiba01,SS
CIN,2000,D.Young,youngdm01,LF
CIN,2000,K.Griffey,griffke02,CF
CIN,2000,D.Bichette,bicheda01,RF
CIN,2000,H.Morris,morriha02,DH
CLE,2000,S.Alomar,alomasa02,C
CLE,2000,J.Thome,thomeji01,1B
CLE,2000,R.Alomar,alomaro01,2B
CLE,2000,T.Fryman,frymatr01,3B
CLE,2000,O.Vizquel,vizquom01,SS
CLE,2000,R.Sexson,sexsori01,LF
CLE,2000,K.Lofton,loftoke01,CF
CLE,2000,M.Ramirez,ramirma02,RF
CLE,2000,R.Branyan,branyru01,DH
COL,2000,B.Mayne,maynebr01,C
COL,2000,T.Helton,heltoto01,1B
COL,2000,M.Lansing,lansimi01,2B
COL,2000,J.Cirillo,cirilje01,3B
COL,2000,N.Perez,perezne01,SS
COL,2000,T.Shumpert,shumpte01,LF
COL,2000,T.Goodwin,goodwto01,CF
COL,2000,J.Hammonds,hammoje01,RF
COL,2000,L.Walker,walkela01,DH
DET,2000,B.Ausmus,ausmubr01,C
DET,2000,T.Clark,clarkto02,1B
DET,2000,D.Easley,easleda01,2B
DET,2000,D.Palmer,palmede01,3B
DET,2000,D.Cruz,cruzde01,SS
DET,2000,B.Higginson,higgibo02,LF
DET,2000,J.Encarnacion,encarju01,CF
DET,2000,J.Gonzalez,gonzaju03,RF
DET,2000,L.Polonia,polonlu01,DH
FLA,2000,M.Redmond,redmomi01,C
FLA,2000,D.Lee,leede02,1B
FLA,2000,L.Castillo,castilu01,2B
FLA,2000,M.Lowell,lowelmi01,3B
FLA,2000,A.Gonzalez,gonzaal02,SS
FLA,2000,C.Floyd,floydcl01,LF
FLA,2000,P.Wilson,wilsopr01,CF
FLA,2000,M.Kotsay,kotsama01,RF
FLA,2000,K.Millar,millake01,DH
HOU,2000,M.Meluskey,melusmi01,C
HOU,2000,J.Bagwell,bagweje01,1B
HOU,2000,C.Biggio,biggicr01,2B
HOU,2000,C.Truby,trubych01,3B
HOU,2000,T.Bogar,bogarti01,SS
HOU,2000,M.Alou,aloumo01,LF
HOU,2000,R.Hidalgo,hidalri01,CF
HOU,2000,L.Berkman,berkmla01,RF
HOU,2000,D.Ward,wardda01,DH
KCR,2000,G.Zaun,zaungr01,C
KCR,2000,M.Sweeney,sweenmi01,1B
KCR,2000,C.Febles,febleca01,2B
KCR,2000,J.Randa,randajo01,3B
KCR,2000,R.Sanchez,sanchre01,SS
KCR,2000,M.Quinn,quinnma01,LF
KCR,2000,C.Beltran,beltrca01,CF
KCR,2000,J.Dye,dyeje01,RF
KCR,2000,J.Damon,damonjo01,DH
LAD,2000,T.Hundley,hundlto01,C
LAD,2000,E.Karros,karroer01,1B
LAD,2000,M.Grudzielanek,grudzma01,2B
LAD,2000,A.Beltre,beltrad01,3B
LAD,2000,A.Cora,coraal01,SS
LAD,2000,G.Sheffield,sheffga01,LF
LAD,2000,T.Hollandsworth,hollato01,CF
LAD,2000,S.Green,greensh01,RF
LAD,2000,D.Hansen,hanseda01,DH
MIL,2000,H.Blanco,blanche01,C
MIL,2000,C.Hayes,hayesch01,1B
MIL,2000,R.Belliard,belliro01,2B
MIL,2000,J.Hernandez,hernajo01,3B
MIL,2000,M.Loretta,loretma01,SS
MIL,2000,G.Jenkins,jenkige01,LF
MIL,2000,M.Grissom,grissma02,CF
MIL,2000,J.Burnitz,burnije01,RF
MIL,2000,M.Sweeney,sweenma01,DH
MIN,2000,M.Jensen,jensema01,C
MIN,2000,R.Coomer,coomero01,1B
MIN,2000,J.Canizaro,canizja01,2B
MIN,2000,C.Koskie,koskico01,3B
MIN,2000,C.Guzman,guzmacr01,SS
MIN,2000,J.Jones,jonesja05,LF
MIN,2000,T.Hunter,hunteto01,CF
MIN,2000,M.Lawton,lawtoma02,RF
MIN,2000,D.Ortiz,ortizda01,DH
MON,2000,C.Widger,widgech01,C
MON,2000,L.Stevens,stevele01,1B
MON,2000,J.Vidro,vidrojo01,2B
MON,2000,M.Mordecai,mordemi01,3B
MON,2000,O.Cabrera,cabreor01,SS
MON,2000,R.White,whitero02,LF
MON,2000,P.Bergeron,bergepe01,CF
MON,2000,V.Guerrero,guerrvl01,RF
MON,2000,W.Guerrero,guerrwi01,DH
NYM,2000,M.Piazza,piazzmi01,C
NYM,2000,T.Zeile,zeileto01,1B
NYM,2000,E.Alfonzo,alfoned01,2B
NYM,2000,R.Ventura,venturo01,3B
NYM,2000,M.Bordick,bordimi01,SS
NYM,2000,B.Agbayani,agbaybe01,LF
NYM,2000,J.Payton,paytoja01,CF
NYM,2000,D.Bell,bellde01,RF
NYM,2000,M.Franco,francma01,DH
NYY,2000,J.Posada,posadjo01,C
NYY,2000,T.Martinez,martiti02,1B
NYY,2000,C.Knoblauch,knoblch01,2B
NYY,2000,S.Brosius,brosisc01,3B
NYY,2000,D.Jeter,jeterde01,SS
NYY,2000,R.Ledee,ledeeri01,LF
NYY,2000,B.Williams,willibe02,CF
NYY,2000,P.O'Neill,o'neipa01,RF
NYY,2000,S.Spencer,spencsh01,DH
OAK,2000,R.Hernandez,hernara02,C
OAK,2000,J.Giambi,giambja01,1B
OAK,2000,R.Velarde,velarra01,2B
OAK,2000,E.Chavez,chaveer01,3B
OAK,2000,M.Tejada,tejadmi01,SS
OAK,2000,B.Grieve,grievbe01,LF
OAK,2000,T.Long,longte01,CF
OAK,2000,M.Stairs,stairma01,RF
OAK,2000,J.Jaha,jahajo01,DH
PHI,2000,M.Lieberthal,liebemi01,C
PHI,2000,P.Burrell,burrepa01,1B
PHI,2000,M.Morandini,moranmi01,2B
PHI,2000,S.Rolen,rolensc01,3B
PHI,2000,D.Relaford,relafde01,SS
PHI,2000,R.Gant,gantro01,LF
PHI,2000,D.Glanville,glanvdo01,CF
PHI,2000,B.Abreu,abreubo01,RF
PHI,2000,R.Ducey,duceyro01,DH
PIT,2000,J.Kendall,kendaja01,C
PIT,2000,K.Young,youngke01,1B
PIT,2000,W.Morris,morriwa02,2B
PIT,2000,A.Ramirez,ramirar01,3B
PIT,2000,P.Meares,mearepa01,SS
PIT,2000,W.Cordero,cordewi01,LF
PIT,2000,B.Giles,gilesbr02,CF
PIT,2000,J.Vander Wal,vandejo02,RF
PIT,2000,K.Osik,osikke01,DH
SDP,2000,W.Gonzalez,gonzawi01,C
SDP,2000,R.Klesko,kleskry01,1B
SDP,2000,B.Boone,boonebr01,2B
SDP,2000,P.Nevin,nevinph01,3B
SDP,2000,D.Jackson,jacksda04,SS
SDP,2000,A.Martin,martial03,LF
SDP,2000,R.Rivera,riverru01,CF
SDP,2000,E.Owens,owenser01,RF
SDP,2000,T.Gwynn,gwynnto01,DH
SEA,2000,D.Wilson,wilsoda01,C
SEA,2000,J.Olerud,olerujo01,1B
SEA,2000,M.McLemore,mclemma01,2B
SEA,2000,D.Bell,bellda01,3B
SEA,2000,A.Rodriguez,rodrial01,SS
SEA,2000,R.Henderson,henderi01,LF
SEA,2000,M.Cameron,camermi01,CF
SEA,2000,J.Buhner,buhneja01,RF
SEA,2000,E.Martinez,martied01,DH
SFG,2000,B.Estalella,estalbo02,C
SFG,2000,J.Snow,snowj.01,1B
SFG,2000,J.Kent,kentje01,2B
SFG,2000,B.Mueller,muellbi02,3B
SFG,2000,R.Aurilia,aurilri01,SS
SFG,2000,B.Bonds,bondsba01,LF
SFG,2000,M.Benard,benarma01,CF
SFG,2000,E.Burks,burksel01,RF
SFG,2000,R.Davis,davisru01,DH
STL,2000,M.Matheny,mathemi01,C
STL,2000,M.McGwire,mcgwima01,1B
STL,2000,F.Vina,vinafe01,2B
STL,2000,F.Tatis,tatisfe01,3B
STL,2000,E.Renteria,renteed01,SS
STL,2000,R.Lankford,lankfra01,LF
STL,2000,J.Edmonds,edmonji01,CF
STL,2000,J.Drew,drewj.01,RF
STL,2000,E.Davis,daviser01,DH
TBD,2000,J.Flaherty,flahejo01,C
TBD,2000,F.McGriff,mcgrifr01,1B
TBD,2000,M.Cairo,cairomi01,2B
TBD,2000,V.Castilla,castivi02,3B
TBD,2000,F.Martinez,martife01,SS
TBD,2000,G.Vaughn,vaughgr01,LF
TBD,2000,G.Williams,willige02,CF
TBD,2000,J.Guillen,guilljo01,RF
TBD,2000,J.Canseco,cansejo01,DH
TEX,2000,I.Rodriguez,rodriiv01,C
TEX,2000,R.Palmeiro,palmera01,1B
TEX,2000,L.Alicea,alicelu01,2B
TEX,2000,M.Lamb,lambmi01,3B
TEX,2000,R.Clayton,claytro01,SS
TEX,2000,R.Greer,greerru01,LF
TEX,2000,G.Kapler,kaplega01,CF
TEX,2000,R.Ledee,ledeeri01,RF
TEX,2000,D.Segui,seguida01,DH
TOR,2000,D.Fletcher,fletcda01,C
TOR,2000,C.Delgado,delgaca01,1B
TOR,2000,H.Bush,bushho01,2B
TOR,2000,T.Batista,batisto01,3B
TOR,2000,A.Gonzalez,gonzaal01,SS
TOR,2000,S.Stewart,stewash01,LF
TOR,2000,J.Cruz,cruzjo02,CF
TOR,2000,R.Mondesi,mondera01,RF
TOR,2000,B.Fullmer,fullmbr01,DH
ANA,2001,B.Molina,molinbe01,C
ANA,2001,S.Spiezio,spiezsc01,1B
ANA,2001,A.Kennedy,kennead01,2B
ANA,2001,T.Glaus,glaustr01,3B
ANA,2001,D.Eckstein,eckstda01,SS
ANA,2001,G.Anderson,anderga01,LF
ANA,2001,D.Erstad,erstada01,CF
ANA,2001,T.Salmon,salmoti01,RF
ANA,2001,O.Palmeiro,palmeor01,DH
ARI,2001,D.Miller,milleda02,C
ARI,2001,M.Grace,gracema01,1B
ARI,2001,J.Bell,bellja01,2B
ARI,2001,M.Williams,willima04,3B
ARI,2001,T.Womack,womacto01,SS
ARI,2001,L.Gonzalez,gonzalu01,LF
ARI,2001,S.Finley,finlest01,CF
ARI,2001,R.Sanders,sandere02,RF
ARI,2001,E.Durazo,durazer01,DH
ATL,2001,J.Lopez,lopezja01,C
ATL,2001,W.Helms,helmswe01,1B
ATL,2001,Q.Veras,verasqu01,2B
ATL,2001,C.Jones,jonesch06,3B
ATL,2001,R.Furcal,furcara02,SS
ATL,2001,B.Surhoff,surhob.01,LF
ATL,2001,A.Jones,jonesan01,CF
ATL,2001,B.Jordan,jordabr01,RF
ATL,2001,M.DeRosa,derosma01,DH
BAL,2001,B.Fordyce,fordybr01,C
BAL,2001,J.Conine,coninje01,1B
BAL,2001,J.Hairston,hairsje02,2B
BAL,2001,C.Ripken,ripkeca01,3B
BAL,2001,M.Bordick,bordimi01,SS
BAL,2001,B.Anderson,anderbr01,LF
BAL,2001,M.Mora,morame01,CF
BAL,2001,C.Richard,richach01,RF
BAL,2001,T.Batista,batisto01,DH
BOS,2001,S.Hatteberg,hattesc01,C
BOS,2001,B.Daubach,daubabr01,1B
BOS,2001,J.Offerman,offerjo01,2B
BOS,2001,S.Hillenbrand,hillesh02,3B
BOS,2001,M.Lansing,lansimi01,SS
BOS,2001,M.Ramirez,ramirma02,LF
BOS,2001,C.Everett,evereca01,CF
BOS,2001,T.Nixon,nixontr01,RF
BOS,2001,D.Bichette,bicheda01,DH
CHC,2001,J.Girardi,girarjo01,C
CHC,2001,M.Stairs,stairma01,1B
CHC,2001,E.Young,younger01,2B
CHC,2001,R.Coomer,coomero01,3B
CHC,2001,R.Gutierrez,gutieri01,SS
CHC,2001,R.White,whitero02,LF
CHC,2001,G.Matthews,matthga02,CF
CHC,2001,S.Sosa,sosasa01,RF
CHC,2001,R.Brown,brownro02,DH
CHW,2001,S.Alomar,alomasa02,C
CHW,2001,P.Konerko,konerpa01,1B
CHW,2001,R.Durham,durhara01,2B
CHW,2001,H.Perry,perryhe01,3B
CHW,2001,R.Clayton,claytro01,SS
CHW,2001,C.Lee,leeca01,LF
CHW,2001,C.Singleton,singlch01,CF
CHW,2001,M.Ordonez,ordonma01,RF
CHW,2001,J.Canseco,cansejo01,DH
CIN,2001,J.LaRue,larueja01,C
CIN,2001,S.Casey,caseyse01,1B
CIN,2001,T.Walker,walketo04,2B
CIN,2001,A.Boone,booneaa01,3B
CIN,2001,P.Reese,reesepo01,SS
CIN,2001,D.Young,youngdm01,LF
CIN,2001,K.Griffey,griffke02,CF
CIN,2001,A.Ochoa,ochoaal01,RF
CIN,2001,D.Sanders,sandede02,DH
CLE,2001,E.Diaz,diazei01,C
CLE,2001,J.Thome,thomeji01,1B
CLE,2001,R.Alomar,alomaro01,2B
CLE,2001,T.Fryman,frymatr01,3B
CLE,2001,O.Vizquel,vizquom01,SS
CLE,2001,M.Cordova,cordoma01,LF
CLE,2001,K.Lofton,loftoke01,CF
CLE,2001,J.Gonzalez,gonzaju03,RF
CLE,2001,E.Burks,burksel01,DH
COL,2001,B.Petrick,petribe01,C
COL,2001,T.Helton,heltoto01,1B
COL,2001,T.Walker,walketo04,2B
COL,2001,J.Cirillo,cirilje01,3B
COL,2001,N.Perez,perezne01,SS
COL,2001,R.Gant,gantro01,LF
COL,2001,J.Pierre,pierrju01,CF
COL,2001,L.Walker,walkela01,RF
COL,2001,G.Norton,nortogr01,DH
DET,2001,B.Inge,ingebr01,C
DET,2001,T.Clark,clarkto02,1B
DET,2001,D.Easley,easleda01,2B
DET,2001,J.Macias,maciajo01,3B
DET,2001,D.Cruz,cruzde01,SS
DET,2001,B.Higginson,higgibo02,LF
DET,2001,R.Cedeno,cedenro01,CF
DET,2001,J.Encarnacion,encarju01,RF
DET,2001,D.Palmer,palmede01,DH
FLA,2001,C.Johnson,johnsch04,C
FLA,2001,D.Lee,leede02,1B
FLA,2001,L.Castillo,castilu01,2B
FLA,2001,M.Lowell,lowelmi01,3B
FLA,2001,A.Gonzalez,gonzaal02,SS
FLA,2001,C.Floyd,floydcl01,LF
FLA,2001,P.Wilson,wilsopr01,CF
FLA,2001,E.Owens,owenser01,RF
FLA,2001,K.Millar,millake01,DH
HOU,2001,B.Ausmus,ausmubr01,C
HOU,2001,J.Bagwell,bagweje01,1B
HOU,2001,C.Biggio,biggicr01,2B
HOU,2001,V.Castilla,castivi02,3B
HOU,2001,J.Lugo,lugoju01,SS
HOU,2001,L.Berkman,berkmla01,LF
HOU,2001,R.Hidalgo,hidalri01,CF
HOU,2001,M.Alou,aloumo01,RF
HOU,2001,D.Ward,wardda01,DH
KCR,2001,H.Ortiz,ortizhe01,C
KCR,2001,M.Sweeney,sweenmi01,1B
KCR,2001,C.Febles,febleca01,2B
KCR,2001,J.Randa,randajo01,3B
KCR,2001,R.Sanchez,sanchre01,SS
KCR,2001,D.Brown,brownde02,LF
KCR,2001,C.Beltran,beltrca01,CF
KCR,2001,J.Dye,dyeje01,RF
