age,status,base_salary,signing_bonus,incentives,total_salary,adjusted_salary,payroll_perc,active,lux_tax,year,team,key
30,Pre-Arb,"$2,500,000","$250,000",-,"$2,750,000","$2,750,000",28.01,0,A,2000,SEA,5216
37,Pre-Arb,"$8,100,000",-,-,"$8,100,000","$8,100,000",24.27,0,A,2000,NYY,13820
30,Arb 1,"$7,250,000",-,-,"$7,250,000","$7,250,000",21.72,0,A,2000,NYY,596
28,Vet,"$6,000,000","$1,000,000",-,"$7,000,000","$7,000,000",20.97,0,A,2000,NYY,594
24,Pre-Arb,"$201,000",-,-,"$201,000","$201,000",0.6,0,A,2000,NYY,150
24,Vet,"$200,000",-,-,"$200,000","$200,000",0.6,0,A,2000,NYY,6457
29,Vet,"$3,000,000","$1,500,000",-,"$4,500,000","$4,500,000",100.0,0,A,2000,TEX,446
28,Pre-Arb,"$11,500,000",-,-,"$11,500,000","$11,500,000",67.65,0,A,2000,BOS,6270
33,Vet,"$4,500,000",-,-,"$4,500,000","$4,500,000",26.47,0,A,2000,BOS,109
27,Vet,"$500,000","$125,000",-,"$625,000","$625,000",3.68,0,A,2000,BOS,476
23,Vet,"$240,000",-,-,"$240,000","$240,000",3.91,0,A,2000,PHI,688
23,Pre-Arb,"$207,500",-,-,"$207,500","$207,500",3.38,0,A,2000,PHI,7202
24,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",6.78,0,A,2000,CHC,896
25,Vet,"$650,000",-,-,"$650,000","$650,000",44.83,0,A,2000,TOR,774
24,Pre-Arb,"$500,000",-,-,"$500,000","$500,000",34.48,0,A,2000,TOR,433
23,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",20.69,0,A,2000,TOR,898
29,Vet,"$325,000",-,-,"$325,000","$325,000",7.92,0,A,2000,WSH,746
23,Pre-Arb,"$280,000",-,-,"$280,000","$280,000",6.82,0,A,2000,WSH,195
23,Vet,"$200,000",-,-,"$200,000","$200,000",1.54,0,A,2000,CIN,534
24,Vet,"$250,000",-,-,"$250,000","$250,000",5.34,0,A,2000,OAK,20
27,Vet,"$1,000,000","$125,000",-,"$1,125,000","$1,125,000",6.08,0,A,2000,CLE,5205
22,Pre-Arb,-,"$1,125,000",-,"$1,125,000","$1,125,000",6.08,0,A,2000,CLE,46
23,Pre-Arb,"$268,000",-,-,"$268,000","$268,000",51.24,0,A,2000,MIA,136
21,Vet,"$200,000",-,-,"$200,000","$200,000",2.37,0,A,2000,CHW,169
34,Pre-Arb,"$10,500,000","$600,000",-,"$11,100,000","$11,100,000",43.17,0,A,2000,ATL,13795
34,Vet,"$9,463,237",-,-,"$9,463,237","$9,463,237",36.8,0,A,2000,ATL,17
36,Pre-Arb,"$13,350,000",-,"$300,000","$13,650,000","$13,650,000",70.71,0,A,2000,ARI,8
33,Vet,"$5,650,000",-,-,"$5,650,000","$5,650,000",29.27,0,A,2000,ARI,11425
25,Pre-Arb,"$1,000,000","$325,000",-,"$1,325,000","$1,325,000",37.64,0,A,2000,SF,524
25,Vet,"$225,000",-,-,"$225,000","$225,000",6.39,0,A,2000,SF,530
31,Pre-Arb,"$3,500,000","$250,000",-,"$3,750,000","$3,750,000",29.06,0,A,2001,SEA,5216
28,Pre-Arb,"$202,500",-,-,"$202,500","$202,500",1.57,0,A,2001,SEA,779
38,Pre-Arb,"$7,800,000","$2,500,000",-,"$10,300,000","$10,300,000",25.44,0,A,2001,NYY,13820
31,Arb 2,"$7,150,000","$2,000,000",-,"$9,150,000","$9,150,000",22.6,0,A,2001,NYY,596
29,Vet,"$6,000,000","$1,000,000",-,"$7,000,000","$7,000,000",17.29,0,A,2001,NYY,594
25,Vet,"$200,000",-,-,"$200,000","$200,000",0.49,0,A,2001,NYY,6457
30,Vet,"$5,000,000","$1,500,000",-,"$6,500,000","$6,500,000",24.3,0,A,2001,TEX,446
29,Pre-Arb,"$13,000,000",-,-,"$13,000,000","$13,000,000",37.79,0,A,2001,BOS,6270
34,Vet,"$3,000,000",-,-,"$3,000,000","$3,000,000",8.72,0,A,2001,BOS,109
28,Vet,"$200,000","$125,000",-,"$325,000","$325,000",0.94,0,A,2001,BOS,476
24,Pre-Arb,"$225,000",-,-,"$225,000","$225,000",4.07,0,A,2001,PIT,199
28,Vet,"$1,450,000",-,-,"$1,450,000","$1,450,000",74.55,0,A,2001,MIN,583
24,Vet,"$365,000",-,-,"$365,000","$365,000",2.34,0,A,2001,PHI,688
24,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",1.93,0,A,2001,PHI,7202
24,Vet,"$1,940,000",-,-,"$1,940,000","$1,940,000",81.68,0,A,2001,CHC,164
26,Vet,"$2,500,000",-,-,"$2,500,000","$2,500,000",47.08,0,A,2001,TOR,774
25,Pre-Arb,"$1,500,000",-,-,"$1,500,000","$1,500,000",28.25,0,A,2001,TOR,433
24,Pre-Arb,"$650,000",-,-,"$650,000","$650,000",12.24,0,A,2001,TOR,898
24,Pre-Arb,"$2,000,000",-,-,"$2,000,000","$2,000,000",23.79,0,A,2001,WSH,195
25,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",2.38,0,A,2001,WSH,896
24,Vet,"$625,000",-,-,"$625,000","$625,000",4.62,0,A,2001,CIN,534
25,Vet,"$500,000","$25,000",-,"$525,000","$525,000",3.37,0,A,2001,OAK,20
23,Vet,"$240,000",-,-,"$240,000","$240,000",1.54,0,A,2001,OAK,744
25,Pre-Arb,"$220,000",-,-,"$220,000","$220,000",13.58,0,A,2001,LAD,6476
26,Vet,"$2,350,000",-,-,"$2,350,000","$2,350,000",31.27,0,A,2001,COL,875
23,Pre-Arb,"$2,000,000","$1,125,000",-,"$3,125,000","$3,125,000",18.95,0,A,2001,CLE,46
28,Vet,"$2,500,000","$125,000",-,"$2,625,000","$2,625,000",15.92,0,A,2001,CLE,5205
24,Pre-Arb,"$400,000",-,-,"$400,000","$400,000",11.76,0,A,2001,MIA,136
22,Vet,"$225,000",-,-,"$225,000","$225,000",1.32,0,A,2001,CHW,169
35,Pre-Arb,"$12,500,000","$600,000",-,"$13,100,000","$13,100,000",38.29,0,A,2001,ATL,13795
35,Vet,"$9,500,000",-,-,"$9,500,000","$9,500,000",27.77,0,A,2001,ATL,17
37,Pre-Arb,"$13,350,000",-,-,"$13,350,000","$13,350,000",65.84,0,A,2001,ARI,8
34,Vet,"$6,500,000",-,-,"$6,500,000","$6,500,000",32.06,0,A,2001,ARI,11425
27,Vet,"$240,000",-,-,"$240,000","$240,000",49.48,0,A,2001,HOU,174
26,Pre-Arb,"$2,350,000","$325,000",-,"$2,675,000","$2,675,000",55.21,0,A,2001,SF,524
26,Vet,"$200,000",-,-,"$200,000","$200,000",4.13,0,A,2001,SF,530
32,Pre-Arb,"$3,500,000","$250,000",-,"$3,750,000","$3,750,000",28.16,0,A,2002,SEA,5216
29,Pre-Arb,"$250,000",-,-,"$250,000","$250,000",1.88,0,A,2002,SEA,779
25,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",7.61,0,A,2002,NYM,7202
39,Pre-Arb,"$7,800,000","$2,500,000",-,"$10,300,000","$10,300,000",18.4,0,A,2002,NYY,13820
30,Vet,"$8,500,000","$1,000,000",-,"$9,500,000","$9,500,000",16.97,0,A,2002,NYY,594
32,Vet,"$7,450,000","$2,000,000",-,"$9,450,000","$9,450,000",16.88,0,A,2002,NYY,596
26,Pre-Arb,"$237,150",-,-,"$237,150","$237,150",0.42,0,A,2002,NYY,150
26,Vet,"$223,350",-,-,"$223,350","$223,350",0.4,0,A,2002,NYY,6457
26,Vet,"$310,000",-,-,"$310,000","$310,000",1.33,0,A,2002,TEX,3
22,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",0.86,0,A,2002,TEX,6464
30,Pre-Arb,"$14,000,000",-,-,"$14,000,000","$14,000,000",24.96,0,A,2002,BOS,6270
31,Vet,"$5,000,000","$1,500,000",-,"$6,500,000","$6,500,000",11.59,0,A,2002,BOS,446
35,Vet,"$3,200,000",-,-,"$3,200,000","$3,200,000",5.7,0,A,2002,BOS,109
29,Vet,"$3,000,000","$125,000",-,"$3,125,000","$3,125,000",5.57,0,A,2002,BOS,476
23,Vet,"$2,000,000",-,-,"$2,000,000","$2,000,000",31.75,0,A,2002,KC,197
25,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",2.52,0,A,2002,PIT,199
24,Pre-Arb,"$212,500",-,-,"$212,500","$212,500",1.78,0,A,2002,PIT,8742
29,Vet,"$2,300,000",-,-,"$2,300,000","$2,300,000",52.69,0,A,2002,MIN,583
26,Pre-Arb,"$215,000",-,-,"$215,000","$215,000",4.93,0,A,2002,MIN,650
25,Vet,"$450,000",-,-,"$450,000","$450,000",2.82,0,A,2002,PHI,688
23,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",1.25,0,A,2002,PHI,767
25,Vet,"$3,695,000",-,-,"$3,695,000","$3,695,000",74.72,0,A,2002,CHC,164
21,Vet,"$250,000","$800,000",-,"$1,050,000","$1,050,000",21.23,0,A,2002,CHC,684
21,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",4.04,0,A,2002,CHC,166
27,Vet,"$3,450,000",-,-,"$3,450,000","$3,450,000",35.02,0,A,2002,TOR,774
25,Pre-Arb,"$2,500,000",-,-,"$2,500,000","$2,500,000",25.38,0,A,2002,TOR,898
26,Pre-Arb,"$2,300,000",-,-,"$2,300,000","$2,300,000",23.35,0,A,2002,TOR,433
25,Pre-Arb,"$4,725,000",-,-,"$4,725,000","$4,725,000",26.9,0,A,2002,WSH,195
29,Vet,"$4,500,000","$125,000",-,"$4,625,000","$4,625,000",26.34,0,A,2002,WSH,5205
21,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",25.81,0,A,2002,SD,683
24,Vet,"$500,000","$100,000","$1,300,000","$1,900,000","$1,900,000",11.25,0,A,2002,OAK,744
26,Vet,"$850,000","$25,000",-,"$875,000","$875,000",5.18,0,A,2002,OAK,20
24,Vet,"$377,500",-,-,"$377,500","$377,500",5.28,0,A,2002,LAD,478
26,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",4.19,0,A,2002,LAD,6476
23,Vet,"$290,000",-,-,"$290,000","$290,000",10.78,0,A,2002,MIL,6472
27,Vet,"$4,250,000",-,-,"$4,250,000","$4,250,000",28.52,0,A,2002,COL,875
25,Vet,"$900,000",-,-,"$900,000","$900,000",6.04,0,A,2002,COL,534
23,Pre-Arb,"$215,000",-,-,"$215,000","$215,000",1.7,0,A,2002,STL,787
24,Pre-Arb,"$3,000,000","$1,125,000",-,"$4,125,000","$4,125,000",23.9,0,A,2002,CLE,46
21,Vet,"$450,000","$250,000",-,"$700,000","$700,000",4.05,0,A,2002,CLE,359
24,Vet,"$217,000",-,-,"$217,000","$217,000",1.26,0,A,2002,CLE,364
23,Vet,"$200,000",-,-,-,-,0.0,0,A,2002,CLE,351
25,Arb 1,"$2,475,000",-,-,"$2,475,000","$2,475,000",17.09,0,A,2002,MIA,136
22,Vet,"$1,250,000","$906,250",-,"$2,156,250","$2,156,250",14.89,0,A,2002,MIA,80
25,Vet,"$367,500",-,-,"$367,500","$367,500",2.54,0,A,2002,MIA,894
23,Vet,"$310,000",-,-,"$310,000","$310,000",1.72,0,A,2002,CHW,169
22,Pre-Arb,"$275,000",-,-,"$275,000","$275,000",1.52,0,A,2002,CHW,435
27,Vet,"$227,500",-,-,"$227,500","$227,500",1.26,0,A,2002,CHW,702
-18,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",1.11,0,A,2002,CHW,928
36,Pre-Arb,"$12,500,000","$600,000",-,"$13,100,000","$13,100,000",37.31,0,A,2002,ATL,13795
36,Vet,"$8,623,700",-,-,"$8,623,700","$8,623,700",24.56,0,A,2002,ATL,17
38,Pre-Arb,"$13,350,000",-,-,"$13,350,000","$13,350,000",49.46,0,A,2002,ARI,8
35,Vet,"$10,000,000",-,-,"$10,000,000","$10,000,000",37.05,0,A,2002,ARI,11425
31,Vet,"$2,000,000","$125,000",-,"$2,125,000","$2,125,000",7.87,0,A,2002,ARI,746
28,Vet,"$435,000",-,-,"$435,000","$435,000",15.67,0,A,2002,HOU,174
28,Vet,"$305,000",-,-,"$305,000","$305,000",10.98,0,A,2002,HOU,174
24,Vet,"$300,000",-,-,"$300,000","$300,000",10.8,0,A,2002,HOU,379
25,Vet,"$230,000",-,-,"$230,000","$230,000",8.28,0,A,2002,HOU,181
27,Pre-Arb,"$2,950,000","$325,000",-,"$3,275,000","$3,275,000",48.88,0,A,2002,SF,524
27,Vet,"$300,000",-,-,"$300,000","$300,000",4.48,0,A,2002,SF,530
40,Pre-Arb,"$6,000,000",-,-,"$6,000,000","$6,000,000",23.92,0,A,2003,SEA,647
33,Pre-Arb,"$3,500,000","$250,000",-,"$3,750,000","$3,750,000",14.95,0,A,2003,SEA,5216
24,Vet,"$440,000",-,-,"$440,000","$440,000",1.75,0,A,2003,SEA,794
30,Pre-Arb,"$425,000",-,-,"$425,000","$425,000",1.69,0,A,2003,SEA,779
37,Vet,"$11,000,000",-,-,"$11,000,000","$11,000,000",82.23,0,A,2003,NYM,17
31,Vet,"$11,500,000",-,-,"$11,500,000","$11,500,000",16.2,0,A,2003,NYY,594
33,Vet,"$8,500,000","$2,000,000",-,"$10,500,000","$10,500,000",14.79,0,A,2003,NYY,596
40,Pre-Arb,"$10,100,000",-,-,"$10,100,000","$10,100,000",14.23,0,A,2003,NYY,13820
31,Vet,"$4,000,000",-,-,"$4,000,000","$4,000,000",5.63,0,A,2003,NYY,171
28,Pre-Arb,"$900,000",-,-,"$900,000","$900,000",3.89,0,A,2003,TEX,207
27,Vet,"$427,500",-,-,"$427,500","$427,500",1.85,0,A,2003,TEX,3
23,Pre-Arb,"$302,500",-,-,"$302,500","$302,500",1.31,0,A,2003,TEX,6464
31,Pre-Arb,"$15,500,000",-,-,"$15,500,000","$15,500,000",22.05,0,A,2003,BOS,6270
36,Vet,"$10,000,000",-,-,"$10,000,000","$10,000,000",14.23,0,A,2003,BOS,11425
36,Vet,"$4,030,000",-,-,"$4,030,000","$4,030,000",5.73,0,A,2003,BOS,109
30,Vet,"$3,500,000","$125,000",-,"$3,625,000","$3,625,000",5.16,0,A,2003,BOS,476
23,Pre-Arb,"$309,500",-,-,"$309,500","$309,500",0.44,0,A,2003,BOS,114
22,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",0.43,0,A,2003,BOS,7349
24,Vet,"$313,000",-,-,"$313,000","$313,000",1.39,0,A,2003,KC,197
26,Vet,"$301,000",-,-,"$301,000","$301,000",1.33,0,A,2003,KC,7433
26,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",1.33,0,A,2003,KC,5204
26,Vet,"$600,000",-,-,"$600,000","$600,000",3.89,0,A,2003,PIT,534
21,Vet,"$305,000",-,-,"$305,000","$305,000",1.98,0,A,2003,PIT,558
25,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",1.95,0,A,2003,PIT,8742
30,Vet,"$3,000,000",-,-,"$3,000,000","$3,000,000",29.03,0,A,2003,MIN,583
24,Pre-Arb,"$335,000",-,-,"$335,000","$335,000",3.24,0,A,2003,MIN,561
24,Pre-Arb,"$330,000",-,-,"$330,000","$330,000",3.19,0,A,2003,MIN,787
27,Pre-Arb,"$325,000",-,-,"$325,000","$325,000",3.15,0,A,2003,MIN,650
26,Vet,"$2,250,000","$125,000",-,"$2,375,000","$2,375,000",8.66,0,A,2003,PHI,688
24,Pre-Arb,"$310,000",-,-,"$310,000","$310,000",1.13,0,A,2003,PHI,767
22,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",1.09,0,A,2003,PHI,648
26,Vet,"$6,190,000",-,-,"$6,190,000","$6,190,000",64.63,0,A,2003,CHC,164
22,Vet,"$650,000","$800,000",-,"$1,550,000","$1,550,000",16.18,0,A,2003,CHC,684
27,Arb 1,"$600,000",-,-,"$600,000","$600,000",6.26,0,A,2003,CHC,581
25,Pre-Arb,"$305,000",-,-,"$305,000","$305,000",3.18,0,A,2003,CHC,31
27,Pre-Arb,"$3,900,000",-,-,"$3,900,000","$3,900,000",31.96,0,A,2003,TOR,433
26,Arb 1,"$3,825,000",-,-,"$3,825,000","$3,825,000",31.35,0,A,2003,TOR,898
30,Pre-Arb,"$305,000",-,-,"$305,000","$305,000",2.5,0,A,2003,TOR,835
26,Pre-Arb,"$6,000,000",-,-,"$6,000,000","$6,000,000",31.56,0,A,2003,WSH,195
28,Pre-Arb,"$3,500,000","$325,000",-,"$3,825,000","$300,000",1.58,0,A,2003,WSH,524
25,Vet,"$300,000",-,-,"$300,000","$300,000",1.58,0,A,2003,WSH,920
26,Arb 2,"$3,250,000",-,-,"$3,250,000","$3,250,000",15.34,0,A,2003,CIN,136
26,Arb 1,"$700,000",-,-,"$700,000","$700,000",3.3,0,A,2003,CIN,7202
22,Pre-Arb,"$305,000",-,-,"$305,000","$305,000",15.59,0,A,2003,SD,683
25,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",15.33,0,A,2003,SD,661
26,Vet,"$300,000",-,-,"$300,000","$300,000",15.33,0,A,2003,SD,181
27,Pre-Arb,"$325,000",-,-,"$325,000","$325,000",9.42,0,A,2003,BAL,7360
24,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",8.7,0,A,2003,BAL,747
27,Vet,"$2,700,000","$25,000",-,"$2,725,000","$2,725,000",18.92,0,A,2003,OAK,20
25,Vet,"$900,000","$100,000","$50,000","$1,050,000","$1,050,000",7.29,0,A,2003,OAK,744
27,Pre-Arb,"$335,000",-,-,"$335,000","$335,000",2.33,0,A,2003,OAK,150
25,Vet,"$1,875,000",-,-,"$1,875,000","$1,875,000",18.83,0,A,2003,LAD,478
29,Pre-Arb,"$675,000",-,-,"$675,000","$675,000",6.78,0,A,2003,LAD,503
27,Pre-Arb,"$550,000",-,-,"$550,000","$550,000",5.52,0,A,2003,LAD,6476
24,Vet,"$428,000",-,-,"$428,000","$428,000",10.51,0,A,2003,MIL,6472
32,Vet,"$350,000",-,-,"$350,000","$350,000",2.88,0,A,2003,COL,446
24,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",2.47,0,A,2003,COL,252
23,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",2.47,0,A,2003,COL,255
25,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",2.47,0,A,2003,COL,94
28,Vet,"$300,000",-,-,"$300,000","$300,000",1.4,0,A,2003,STL,774
25,Pre-Arb,"$4,000,000","$1,125,000",-,"$5,125,000","$5,125,000",33.5,0,A,2003,CLE,46
24,Pre-Arb,"$625,000","$500,000",-,"$1,125,000","$1,125,000",7.35,0,A,2003,CLE,56
22,Vet,"$850,000","$250,000",-,"$1,100,000","$1,100,000",7.19,0,A,2003,CLE,359
