age,status,base_salary,signing_bonus,incentives,total_salary,adjusted_salary,payroll_perc,active,lux_tax,year,team,key
25,Vet,"$4,362,500",-,-,"$4,362,500","$4,362,500",44.44,0,A,2000,SEA,597
30,Pre-Arb,"$2,500,000","$250,000",-,"$2,750,000","$2,750,000",28.01,0,A,2000,SEA,5216
27,Pre-Arb,"$2,225,000",-,-,"$2,225,000","$2,225,000",22.66,0,A,2000,SEA,487
28,Vet,"$275,000",-,-,"$275,000","$275,000",2.8,0,A,2000,SEA,757
24,Pre-Arb,"$205,000",-,-,"$205,000","$205,000",2.09,0,A,2000,SEA,289
26,Arb 1,"$10,000,000",-,-,"$10,000,000","$10,000,000",29.96,0,A,2000,NYY,586
37,Pre-Arb,"$8,100,000",-,-,"$8,100,000","$8,100,000",24.27,0,A,2000,NYY,13820
30,Arb 1,"$7,250,000",-,-,"$7,250,000","$7,250,000",21.72,0,A,2000,NYY,596
28,Vet,"$6,000,000","$1,000,000",-,"$7,000,000","$7,000,000",20.97,0,A,2000,NYY,594
24,Pre-Arb,"$630,000",-,-,"$630,000","$630,000",1.89,0,A,2000,NYY,160
24,Pre-Arb,"$201,000",-,-,"$201,000","$201,000",0.6,0,A,2000,NYY,150
24,Vet,"$200,000",-,-,"$200,000","$200,000",0.6,0,A,2000,NYY,6457
29,Vet,"$3,000,000","$1,500,000",-,"$4,500,000","$4,500,000",100.0,0,A,2000,TEX,446
28,Pre-Arb,"$11,500,000",-,-,"$11,500,000","$11,500,000",67.65,0,A,2000,BOS,6270
33,Vet,"$4,500,000",-,-,"$4,500,000","$4,500,000",26.47,0,A,2000,BOS,109
27,Vet,"$500,000","$125,000",-,"$625,000","$625,000",3.68,0,A,2000,BOS,476
28,Vet,"$375,000",-,-,"$375,000","$375,000",2.21,0,A,2000,BOS,108
26,Pre-Arb,"$4,000,000",-,-,"$4,000,000","$4,000,000",58.01,0,A,2000,KC,578
26,Pre-Arb,"$2,300,000",-,-,"$2,300,000","$2,300,000",33.36,0,A,2000,KC,175
23,Pre-Arb,"$350,000",-,-,"$350,000","$350,000",5.08,0,A,2000,KC,541
26,Pre-Arb,"$2,250,000",-,-,"$2,250,000","$2,250,000",51.14,0,A,2000,PIT,501
26,Vet,"$2,600,000","$333,333",-,"$2,933,333","$2,933,333",47.85,0,A,2000,PHI,570
25,Vet,"$2,750,000",-,-,"$2,750,000","$2,750,000",44.86,0,A,2000,PHI,918
23,Vet,"$240,000",-,-,"$240,000","$240,000",3.91,0,A,2000,PHI,688
23,Pre-Arb,"$207,500",-,-,"$207,500","$207,500",3.38,0,A,2000,PHI,7202
24,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",6.78,0,A,2000,CHC,896
25,Vet,"$650,000",-,-,"$650,000","$650,000",44.83,0,A,2000,TOR,774
24,Pre-Arb,"$500,000",-,-,"$500,000","$500,000",34.48,0,A,2000,TOR,433
23,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",20.69,0,A,2000,TOR,898
25,Vet,"$3,500,000",-,-,"$3,500,000","$3,500,000",85.26,0,A,2000,WSH,436
29,Vet,"$325,000",-,-,"$325,000","$325,000",7.92,0,A,2000,WSH,746
23,Pre-Arb,"$280,000",-,-,"$280,000","$280,000",6.82,0,A,2000,WSH,195
30,Pre-Arb,"$12,500,000",-,-,"$12,500,000","$12,500,000",96.15,0,A,2000,CIN,214
27,Vet,"$300,000",-,-,"$300,000","$300,000",2.31,0,A,2000,CIN,935
23,Vet,"$200,000",-,-,"$200,000","$200,000",1.54,0,A,2000,CIN,534
29,Vet,"$3,100,000",-,-,"$3,100,000","$3,100,000",66.17,0,A,2000,OAK,582
26,Vet,"$290,000","$833,750",-,"$1,123,750","$1,123,750",23.99,0,A,2000,OAK,386
24,Vet,"$250,000",-,-,"$250,000","$250,000",5.34,0,A,2000,OAK,20
24,Vet,"$211,000",-,-,"$211,000","$211,000",4.5,0,A,2000,OAK,58
21,Vet,"$500,000","$500,000",-,"$1,000,000","$1,000,000",100.0,0,A,2000,LAD,748
26,Vet,"$1,300,000",-,-,"$1,300,000","$1,300,000",100.0,0,A,2000,COL,257
24,Vet,"$2,750,000",-,-,"$2,750,000","$2,750,000",50.71,0,A,2000,STL,91
24,Pre-Arb,"$2,250,000",-,-,"$2,250,000","$2,250,000",41.49,0,A,2000,STL,300
24,Pre-Arb,"$220,000",-,-,"$220,000","$220,000",4.06,0,A,2000,STL,297
20,Vet,"$202,500",-,-,"$202,500","$202,500",3.73,0,A,2000,STL,772
29,Vet,"$7,000,000",-,-,"$7,000,000","$7,000,000",37.84,0,A,2000,CLE,192
28,Vet,"$4,250,000",-,-,"$4,250,000","$4,250,000",22.97,0,A,2000,CLE,103
33,Pre-Arb,"$3,000,000",-,-,"$3,000,000","$3,000,000",16.22,0,A,2000,CLE,739
27,Vet,"$1,000,000","$125,000",-,"$1,125,000","$1,125,000",6.08,0,A,2000,CLE,5205
22,Pre-Arb,-,"$1,125,000",-,"$1,125,000","$1,125,000",6.08,0,A,2000,CLE,46
23,Pre-Arb,"$268,000",-,-,"$268,000","$268,000",51.24,0,A,2000,MIA,136
26,Vet,"$255,000",-,-,"$255,000","$255,000",48.76,0,A,2000,MIA,95
32,Pre-Arb,"$7,250,000",-,-,"$7,250,000","$7,250,000",85.75,0,A,2000,CHW,6475
26,Pre-Arb,"$425,000",-,-,"$425,000","$425,000",5.03,0,A,2000,CHW,296
24,Vet,"$305,000",-,-,"$305,000","$305,000",3.61,0,A,2000,CHW,180
24,Pre-Arb,"$275,000",-,-,"$275,000","$275,000",3.25,0,A,2000,CHW,377
21,Vet,"$200,000",-,-,"$200,000","$200,000",2.37,0,A,2000,CHW,169
34,Pre-Arb,"$10,500,000","$600,000",-,"$11,100,000","$11,100,000",43.17,0,A,2000,ATL,13795
34,Vet,"$9,463,237",-,-,"$9,463,237","$9,463,237",36.8,0,A,2000,ATL,17
28,Vet,"$4,750,000",-,-,"$4,750,000","$4,750,000",18.47,0,A,2000,ATL,25
37,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",0.78,0,A,2000,ATL,11887
22,Vet,"$200,000",-,-,"$200,000","$200,000",0.78,0,A,2000,ATL,465
36,Pre-Arb,"$13,350,000",-,"$300,000","$13,650,000","$13,650,000",70.71,0,A,2000,ARI,8
33,Vet,"$5,650,000",-,-,"$5,650,000","$5,650,000",29.27,0,A,2000,ARI,11425
21,Pre-Arb,"$1,750,000","$220,000",-,"$1,970,000","$1,970,000",55.97,0,A,2000,SF,708
25,Pre-Arb,"$1,000,000","$325,000",-,"$1,325,000","$1,325,000",37.64,0,A,2000,SF,524
25,Vet,"$225,000",-,-,"$225,000","$225,000",6.39,0,A,2000,SF,530
27,Vet,"$4,000,000","$1,666,666",-,"$5,666,666","$5,666,666",43.91,0,A,2001,SEA,768
31,Pre-Arb,"$3,500,000","$250,000",-,"$3,750,000","$3,750,000",29.06,0,A,2001,SEA,5216
28,Pre-Arb,"$3,000,000",-,-,"$3,000,000","$3,000,000",23.25,0,A,2001,SEA,487
25,Pre-Arb,"$285,000",-,-,"$285,000","$285,000",2.21,0,A,2001,SEA,289
28,Pre-Arb,"$202,500",-,-,"$202,500","$202,500",1.57,0,A,2001,SEA,779
27,Arb 2,"$11,000,000","$2,000,000",-,"$13,000,000","$13,000,000",32.11,0,A,2001,NYY,586
38,Pre-Arb,"$7,800,000","$2,500,000",-,"$10,300,000","$10,300,000",25.44,0,A,2001,NYY,13820
31,Arb 2,"$7,150,000","$2,000,000",-,"$9,150,000","$9,150,000",22.6,0,A,2001,NYY,596
29,Vet,"$6,000,000","$1,000,000",-,"$7,000,000","$7,000,000",17.29,0,A,2001,NYY,594
25,Pre-Arb,"$630,000",-,-,"$630,000","$630,000",1.56,0,A,2001,NYY,160
25,Vet,"$200,000",-,-,"$200,000","$200,000",0.49,0,A,2001,NYY,6457
22,Vet,"$200,000",-,-,"$200,000","$200,000",0.49,0,A,2001,NYY,937
26,Vet,"$18,000,000","$2,000,000","$250,000","$20,250,000","$20,250,000",75.7,0,A,2001,TEX,597
30,Vet,"$5,000,000","$1,500,000",-,"$6,500,000","$6,500,000",24.3,0,A,2001,TEX,446
29,Vet,"$13,000,000","$3,200,000","$75,000","$16,275,000","$16,275,000",47.31,0,A,2001,BOS,103
29,Pre-Arb,"$13,000,000",-,-,"$13,000,000","$13,000,000",37.79,0,A,2001,BOS,6270
34,Vet,"$3,000,000",-,-,"$3,000,000","$3,000,000",8.72,0,A,2001,BOS,109
29,Vet,"$1,800,000",-,-,"$1,800,000","$1,800,000",5.23,0,A,2001,BOS,108
28,Vet,"$200,000","$125,000",-,"$325,000","$325,000",0.94,0,A,2001,BOS,476
27,Pre-Arb,"$3,800,000",-,-,"$3,800,000","$3,800,000",89.94,0,A,2001,KC,175
24,Pre-Arb,"$425,000",-,-,"$425,000","$425,000",10.06,0,A,2001,KC,541
27,Pre-Arb,"$5,100,000",-,-,"$5,100,000","$5,100,000",92.31,0,A,2001,PIT,501
24,Pre-Arb,"$225,000",-,-,"$225,000","$225,000",4.07,0,A,2001,PIT,199
23,Vet,"$200,000",-,-,"$200,000","$200,000",3.62,0,A,2001,PIT,714
28,Vet,"$1,450,000",-,-,"$1,450,000","$1,450,000",74.55,0,A,2001,MIN,583
25,Vet,"$260,000",-,"$25,000","$285,000","$285,000",14.65,0,A,2001,MIN,100
24,Vet,"$210,000",-,-,"$210,000","$210,000",10.8,0,A,2001,MIN,188
26,Vet,"$5,500,000",-,-,"$5,500,000","$5,500,000",35.31,0,A,2001,PHI,918
27,Vet,"$4,650,000","$333,333",-,"$4,983,333","$4,983,333",31.99,0,A,2001,PHI,570
24,Vet,"$365,000",-,-,"$365,000","$365,000",2.34,0,A,2001,PHI,688
24,Pre-Arb,"$300,000",-,-,"$300,000","$300,000",1.93,0,A,2001,PHI,7202
24,Vet,"$1,940,000",-,-,"$1,940,000","$1,940,000",81.68,0,A,2001,CHC,164
26,Pre-Arb,"$225,000",-,-,"$225,000","$225,000",9.47,0,A,2001,CHC,443
