age,status,base_salary,signing_bonus,incentives,total_salary,adjusted_salary,payroll_perc,active,lux_tax,year,team,key
25,Vet,"$4,362,500",-,-,"$4,362,500","$4,362,500",44.44,0,A,2000,SEA,597
27,Pre-Arb,"$2,225,000",-,-,"$2,225,000","$2,225,000",22.66,0,A,2000,SEA,487
28,Vet,"$275,000",-,-,"$275,000","$275,000",2.8,0,A,2000,SEA,757
24,Pre-Arb,"$205,000",-,-,"$205,000","$205,000",2.09,0,A,2000,SEA,289
26,Arb 1,"$10,000,000",-,-,"$10,000,000","$10,000,000",29.96,0,A,2000,NYY,586
24,Pre-Arb,"$630,000",-,-,"$630,000","$630,000",1.89,0,A,2000,NYY,160
28,Vet,"$375,000",-,-,"$375,000","$375,000",2.21,0,A,2000,BOS,108
26,Pre-Arb,"$4,000,000",-,-,"$4,000,000","$4,000,000",58.01,0,A,2000,KC,578
26,Pre-Arb,"$2,300,000",-,-,"$2,300,000","$2,300,000",33.36,0,A,2000,KC,175
23,Pre-Arb,"$350,000",-,-,"$350,000","$350,000",5.08,0,A,2000,KC,541
26,Pre-Arb,"$2,250,000",-,-,"$2,250,000","$2,250,000",51.14,0,A,2000,PIT,501
26,Vet,"$2,600,000","$333,333",-,"$2,933,333","$2,933,333",47.85,0,A,2000,PHI,570
25,Vet,"$2,750,000",-,-,"$2,750,000","$2,750,000",44.86,0,A,2000,PHI,918
25,Vet,"$3,500,000",-,-,"$3,500,000","$3,500,000",85.26,0,A,2000,WSH,436
30,Pre-Arb,"$12,500,000",-,-,"$12,500,000","$12,500,000",96.15,0,A,2000,CIN,214
27,Vet,"$300,000",-,-,"$300,000","$300,000",2.31,0,A,2000,CIN,935
29,Vet,"$3,100,000",-,-,"$3,100,000","$3,100,000",66.17,0,A,2000,OAK,582
26,Vet,"$290,000","$833,750",-,"$1,123,750","$1,123,750",23.99,0,A,2000,OAK,386
24,Vet,"$211,000",-,-,"$211,000","$211,000",4.5,0,A,2000,OAK,58
21,Vet,"$500,000","$500,000",-,"$1,000,000","$1,000,000",100.0,0,A,2000,LAD,748
26,Vet,"$1,300,000",-,-,"$1,300,000","$1,300,000",100.0,0,A,2000,COL,257
24,Vet,"$2,750,000",-,-,"$2,750,000","$2,750,000",50.71,0,A,2000,STL,91
24,Pre-Arb,"$2,250,000",-,-,"$2,250,000","$2,250,000",41.49,0,A,2000,STL,300
24,Pre-Arb,"$220,000",-,-,"$220,000","$220,000",4.06,0,A,2000,STL,297
20,Vet,"$202,500",-,-,"$202,500","$202,500",3.73,0,A,2000,STL,772
29,Vet,"$7,000,000",-,-,"$7,000,000","$7,000,000",37.84,0,A,2000,CLE,192
28,Vet,"$4,250,000",-,-,"$4,250,000","$4,250,000",22.97,0,A,2000,CLE,103
33,Pre-Arb,"$3,000,000",-,-,"$3,000,000","$3,000,000",16.22,0,A,2000,CLE,739
26,Vet,"$255,000",-,-,"$255,000","$255,000",48.76,0,A,2000,MIA,95
32,Pre-Arb,"$7,250,000",-,-,"$7,250,000","$7,250,000",85.75,0,A,2000,CHW,6475
26,Pre-Arb,"$425,000",-,-,"$425,000","$425,000",5.03,0,A,2000,CHW,296
24,Vet,"$305,000",-,-,"$305,000","$305,000",3.61,0,A,2000,CHW,180
24,Pre-Arb,"$275,000",-,-,"$275,000","$275,000",3.25,0,A,2000,CHW,377
28,Vet,"$4,750,000",-,-,"$4,750,000","$4,750,000",18.47,0,A,2000,ATL,25
37,Pre-Arb,"$200,000",-,-,"$200,000","$200,000",0.78,0,A,2000,ATL,11887
22,Vet,"$200,000",-,-,"$200,000","$200,000",0.78,0,A,2000,ATL,465
21,Pre-Arb,"$1,750,000","$220,000",-,"$1,970,000","$1,970,000",55.97,0,A,2000,SF,708
27,Vet,"$4,000,000","$1,666,666",-,"$5,666,666","$5,666,666",43.91,0,A,2001,SEA,768
28,Pre-Arb,"$3,000,000",-,-,"$3,000,000","$3,000,000",23.25,0,A,2001,SEA,487
25,Pre-Arb,"$285,000",-,-,"$285,000","$285,000",2.21,0,A,2001,SEA,289
27,Arb 2,"$11,000,000","$2,000,000",-,"$13,000,000","$13,000,000",32.11,0,A,2001,NYY,586
25,Pre-Arb,"$630,000",-,-,"$630,000","$630,000",1.56,0,A,2001,NYY,160
22,Vet,"$200,000",-,-,"$200,000","$200,000",0.49,0,A,2001,NYY,937
26,Vet,"$18,000,000","$2,000,000","$250,000","$20,250,000","$20,250,000",75.7,0,A,2001,TEX,597
29,Vet,"$13,000,000","$3,200,000","$75,000","$16,275,000","$16,275,000",47.31,0,A,2001,BOS,103
29,Vet,"$1,800,000",-,-,"$1,800,000","$1,800,000",5.23,0,A,2001,BOS,108
27,Pre-Arb,"$3,800,000",-,-,"$3,800,000","$3,800,000",89.94,0,A,2001,KC,175
24,Pre-Arb,"$425,000",-,-,"$425,000","$425,000",10.06,0,A,2001,KC,541
27,Pre-Arb,"$5,100,000",-,-,"$5,100,000","$5,100,000",92.31,0,A,2001,PIT,501
23,Vet,"$200,000",-,-,"$200,000","$200,000",3.62,0,A,2001,PIT,714
25,Vet,"$260,000",-,"$25,000","$285,000","$285,000",14.65,0,A,2001,MIN,100
24,Vet,"$210,000",-,-,"$210,000","$210,000",10.8,0,A,2001,MIN,188
26,Vet,"$5,500,000",-,-,"$5,500,000","$5,500,000",35.31,0,A,2001,PHI,918
